EventID,TrackID,ParentID,Particle,KineticEnergy,Volume,DetectorID
1,6,1,gamma,0.899421,Detector,1
15,2,1,gamma,0.152764,Detector,1
21,3,1,gamma,2.26607,Detector,1
32,4,1,gamma,0.26117,Detector,1
44,4,1,gamma,0.897031,Detector,1
58,3,1,gamma,0.477388,Detector,1
59,2,1,gamma,0.052362,Detector,1
68,6,1,gamma,1.42313,Detector,1
97,2,1,gamma,0.0791748,Detector,1
98,4,1,gamma,0.071042,Detector,1
115,2,1,gamma,0.162105,Detector,1
130,3,1,gamma,1.31868,Detector,1
130,2,1,gamma,0.200748,Detector,1
142,2,1,gamma,0.387243,Detector,1
151,8,1,gamma,0.132579,Detector,1
152,4,1,gamma,0.111575,Detector,1
156,2,1,gamma,0.180809,Detector,1
165,14,1,gamma,0.539477,Detector,1
174,3,1,gamma,0.154296,Detector,1
194,19,7,gamma,0.07525,Detector,1
207,13,1,gamma,0.147957,Detector,1
208,4,1,gamma,0.268844,Detector,1
230,9,1,gamma,0.145056,Detector,1
243,2,1,gamma,0.0948289,Detector,1
246,3,1,gamma,1.71878,Detector,1
247,3,1,gamma,0.0831922,Detector,1
257,5,1,gamma,0.00902921,Detector,1
292,4,1,gamma,0.915464,Detector,1
294,2,1,gamma,1.40027,Detector,1
301,24,9,gamma,0.073039,Detector,1
304,11,1,gamma,0.193032,Detector,1
307,3,1,gamma,1.88478,Detector,1
307,2,1,gamma,0.231114,Detector,1
310,4,1,gamma,0.121218,Detector,1
316,4,2,gamma,0.073039,Detector,1
334,13,1,gamma,0.179655,Detector,1
369,5,1,gamma,0.0556452,Detector,1
369,2,1,gamma,1.31287,Detector,1
371,4,1,gamma,0.553844,Detector,1
371,3,1,gamma,0.0458373,Detector,1
376,3,1,gamma,0.0666424,Detector,1
386,16,1,gamma,0.404133,Detector,1
391,2,1,gamma,0.304545,Detector,1
403,2,1,gamma,0.0679618,Detector,1
406,5,1,gamma,0.0910359,Detector,1
407,15,1,gamma,0.124877,Detector,1
407,7,1,gamma,0.319736,Detector,1
411,2,1,gamma,0.350977,Detector,1
435,4,1,gamma,0.0787922,Detector,1
441,3,1,gamma,0.055072,Detector,1
445,2,1,gamma,0.292909,Detector,1
447,2,1,gamma,1.0481,Detector,1
458,2,1,gamma,0.069238,Detector,1
471,4,1,gamma,0.177417,Detector,1
481,7,1,gamma,0.0856093,Detector,1
503,2,1,gamma,2.8403,Detector,1
511,4,1,gamma,0.105793,Detector,1
513,4,1,gamma,0.758225,Detector,1
513,3,1,gamma,0.502454,Detector,1
523,6,1,gamma,0.328661,Detector,1
526,10,1,gamma,0.119203,Detector,1
528,5,1,gamma,0.0250148,Detector,1
543,2,1,gamma,0.0697245,Detector,1
560,2,1,gamma,0.499198,Detector,1
564,2,1,gamma,0.105265,Detector,1
597,9,1,gamma,0.0724445,Detector,1
597,2,1,gamma,0.173677,Detector,1
619,4,1,gamma,0.0462866,Detector,1
635,13,1,gamma,0.0888638,Detector,1
640,3,1,gamma,1.23385,Detector,1
653,4,1,gamma,2.41473,Detector,1
656,3,1,gamma,0.0780768,Detector,1
660,2,1,gamma,0.452884,Detector,1
665,3,1,gamma,1.64249,Detector,1
674,4,1,gamma,0.0755089,Detector,1
678,6,1,gamma,0.0900006,Detector,1
683,6,1,gamma,0.0784726,Detector,1
684,3,1,gamma,0.425571,Detector,1
700,2,1,gamma,0.13367,Detector,1
716,2,1,gamma,0.218206,Detector,1
723,3,1,gamma,0.287769,Detector,1
734,3,1,gamma,0.26348,Detector,1
736,4,1,gamma,0.130965,Detector,1
737,2,1,gamma,1.77337,Detector,1
760,5,1,gamma,0.804991,Detector,1
760,3,1,gamma,0.339263,Detector,1
777,8,2,gamma,0.073039,Detector,1
798,3,1,gamma,0.103421,Detector,1
803,12,9,gamma,0.0677822,Detector,1
819,2,1,gamma,1.16633,Detector,1
826,5,1,gamma,0.0891173,Detector,1
837,4,1,gamma,0.183615,Detector,1
838,8,1,gamma,0.0643413,Detector,1
842,2,1,gamma,1.45406,Detector,1
849,4,1,gamma,0.16436,Detector,1
850,2,1,gamma,1.83667,Detector,1
856,5,1,gamma,0.124678,Detector,1
881,2,1,gamma,0.334395,Detector,1
887,3,1,gamma,0.512838,Detector,1
901,6,3,gamma,0.0126563,Detector,1
906,4,1,gamma,0.139956,Detector,1
928,2,1,gamma,0.886879,Detector,1
941,5,1,gamma,1.16642,Detector,1
941,2,1,gamma,0.970569,Detector,1
948,2,1,gamma,0.139509,Detector,1
952,15,2,gamma,0.0512537,Detector,1
958,2,1,gamma,0.155848,Detector,1
961,11,1,gamma,0.0586945,Detector,1
963,4,1,gamma,0.109607,Detector,1
973,12,9,gamma,0.161875,Detector,1
976,6,1,gamma,0.0102484,Detector,1
976,2,1,gamma,0.113871,Detector,1
1006,6,1,gamma,0.0783576,Detector,1
1017,9,1,gamma,0.265287,Detector,1
1022,2,1,gamma,0.936508,Detector,1
1030,14,6,gamma,0.073039,Detector,1
1047,2,1,gamma,0.0854979,Detector,1
1074,3,1,gamma,0.285631,Detector,1
1080,4,1,gamma,0.0569852,Detector,1
1090,5,2,gamma,0.07525,Detector,1
1099,4,1,gamma,0.611893,Detector,1
1116,5,2,gamma,0.07525,Detector,1
1125,14,5,gamma,0.073039,Detector,1
1145,6,1,gamma,0.781212,Detector,1
1164,3,1,gamma,0.280304,Detector,1
1164,2,1,gamma,0.0970189,Detector,1
1166,2,1,gamma,0.160261,Detector,1
1169,9,1,gamma,0.28361,Detector,1
1177,3,1,gamma,0.585242,Detector,1
1184,10,4,gamma,0.073039,Detector,1
1193,2,1,gamma,0.0781217,Detector,1
1198,18,5,gamma,0.07525,Detector,1
1203,2,1,gamma,0.0378741,Detector,1
1224,8,1,gamma,0.180285,Detector,1
1226,2,1,gamma,3.57566,Detector,1
1227,2,1,gamma,0.142166,Detector,1
1228,3,1,gamma,0.0861405,Detector,1
1234,5,1,gamma,0.115914,Detector,1
1249,4,1,gamma,0.141352,Detector,1
1252,13,1,gamma,0.208197,Detector,1
1265,3,1,gamma,0.0392259,Detector,1
1267,15,13,gamma,0.010551,Detector,1
1273,7,1,gamma,0.0400786,Detector,1
1275,2,1,gamma,0.103541,Detector,1
1295,2,1,gamma,0.103634,Detector,1
1296,4,1,gamma,0.277441,Detector,1
1325,3,1,gamma,0.79011,Detector,1
1339,10,1,gamma,0.257721,Detector,1
1353,2,1,gamma,0.261129,Detector,1
1366,3,1,gamma,0.296187,Detector,1
1376,2,1,gamma,0.701053,Detector,1
1391,6,3,gamma,0.0181529,Detector,1
1394,5,1,gamma,0.145495,Detector,1
1394,3,1,gamma,0.154498,Detector,1
1396,2,1,gamma,0.0560783,Detector,1
1403,6,1,gamma,0.0179186,Detector,1
1420,6,1,gamma,0.225467,Detector,1
1422,3,1,gamma,1.66668,Detector,1
1424,3,1,gamma,0.0949923,Detector,1
1450,3,1,gamma,0.590719,Detector,1
1452,5,1,gamma,0.158409,Detector,1
1454,2,1,gamma,0.100964,Detector,1
1458,4,1,gamma,2.86974,Detector,1
1465,4,1,gamma,0.105152,Detector,1
1477,2,1,gamma,0.0529173,Detector,1
