EventID,TrackID,ParentID,Particle,KineticEnergy,Volume,DetectorID
91,2,1,gamma,0.109742,Detector,1
108,2,1,gamma,2.69594,Detector,1
158,3,1,gamma,0.473888,Detector,1
201,3,1,gamma,0.1377,Detector,1
215,11,7,gamma,0.0852354,Detector,1
229,3,1,gamma,0.0631074,Detector,1
283,3,1,gamma,0.0848849,Detector,1
286,3,1,gamma,2.44004,Detector,1
286,2,1,gamma,0.741323,Detector,1
364,2,1,gamma,0.0979,Detector,1
378,2,1,gamma,0.0742001,Detector,1
383,3,1,gamma,0.0367568,Detector,1
385,2,1,gamma,3.46296,Detector,1
428,2,1,gamma,0.0129415,Detector,1
435,2,1,gamma,0.199565,Detector,1
455,3,1,gamma,0.504738,Detector,1
473,2,1,gamma,2.12256,Detector,1
485,3,1,gamma,0.330879,Detector,1
485,2,1,gamma,0.0194455,Detector,1
499,4,1,gamma,0.169744,Detector,1
544,3,1,gamma,0.0374318,Detector,1
569,2,1,gamma,0.472333,Detector,1
633,2,1,gamma,0.56921,Detector,1
643,3,1,gamma,0.11924,Detector,1
652,2,1,gamma,0.35161,Detector,1
676,4,1,gamma,0.639894,Detector,1
682,2,1,gamma,0.0741389,Detector,1
707,3,1,gamma,3.44081,Detector,1
744,2,1,gamma,0.0744554,Detector,1
768,3,1,gamma,0.174659,Detector,1
809,3,1,gamma,1.03231,Detector,1
842,3,1,gamma,0.180514,Detector,1
895,3,1,gamma,0.110565,Detector,1
906,3,1,gamma,0.763656,Detector,1
943,2,1,gamma,0.182333,Detector,1
974,2,1,gamma,0.0311494,Detector,1
1008,3,1,gamma,0.0576141,Detector,1
1049,2,1,gamma,0.150658,Detector,1
1054,3,1,gamma,0.0569039,Detector,1
1060,2,1,gamma,0.0892811,Detector,1
1100,2,1,gamma,0.0542049,Detector,1
1107,3,1,gamma,0.0940946,Detector,1
1156,2,1,gamma,0.371456,Detector,1
1160,3,1,gamma,0.0585381,Detector,1
1190,2,1,gamma,0.32525,Detector,1
1223,3,1,gamma,0.102013,Detector,1
1309,3,1,gamma,0.272593,Detector,1
1317,3,1,gamma,0.748497,Detector,1
1341,2,1,gamma,0.0570652,Detector,1
1382,2,1,gamma,0.504779,Detector,1
1450,2,1,gamma,0.213489,Detector,1
1462,3,1,gamma,0.163768,Detector,1
1499,4,1,gamma,0.0541385,Detector,1
1513,4,1,gamma,0.175265,Detector,1
1537,2,1,gamma,0.385072,Detector,1
1548,2,1,gamma,0.435079,Detector,1
1555,5,1,gamma,0.0638655,Detector,1
1564,3,1,gamma,0.466464,Detector,1
1586,6,1,gamma,0.0682326,Detector,1
1586,5,1,gamma,0.10902,Detector,1
1659,3,1,gamma,0.0144078,Detector,1
1660,8,1,gamma,0.174991,Detector,1
1689,2,1,gamma,0.427739,Detector,1
1751,5,1,gamma,0.0481414,Detector,1
1759,3,1,gamma,0.104103,Detector,1
1760,2,1,gamma,0.0462137,Detector,1
1764,2,1,gamma,0.551446,Detector,1
1785,4,1,gamma,0.31242,Detector,1
1816,2,1,gamma,0.00813753,Detector,1
1823,3,1,gamma,0.352758,Detector,1
1845,2,1,gamma,0.200433,Detector,1
1853,3,1,gamma,0.0677271,Detector,1
1914,3,1,gamma,0.0603629,Detector,1
