EventID,TrackID,ParentID,Particle,KineticEnergy,Volume,DetectorID
4,4,1,gamma,0.213396,Detector,1
15,2,1,gamma,0.0741273,Detector,1
85,3,1,gamma,0.00837205,Detector,1
146,2,1,gamma,0.046766,Detector,1
175,2,1,gamma,1.82475,Detector,1
177,2,1,gamma,0.200458,Detector,1
236,2,1,gamma,0.0414271,Detector,1
269,4,2,gamma,0.0576858,Detector,1
270,2,1,gamma,0.299048,Detector,1
276,2,1,gamma,1.3221,Detector,1
290,3,1,gamma,0.0329827,Detector,1
310,2,1,gamma,0.0704805,Detector,1
318,4,1,gamma,1.124,Detector,1
318,3,1,gamma,0.631252,Detector,1
323,2,1,gamma,0.272101,Detector,1
324,2,1,gamma,0.00879589,Detector,1
360,2,1,gamma,0.0321984,Detector,1
381,4,1,gamma,0.28011,Detector,1
384,2,1,gamma,0.122294,Detector,1
399,2,1,gamma,0.0461963,Detector,1
435,2,1,gamma,0.144979,Detector,1
486,2,1,gamma,0.360753,Detector,1
490,11,6,gamma,0.0576858,Detector,1
503,2,1,gamma,0.194304,Detector,1
510,2,1,gamma,0.0990818,Detector,1
546,6,1,gamma,0.105386,Detector,1
571,2,1,gamma,0.0425219,Detector,1
581,3,1,gamma,0.139108,Detector,1
588,2,1,gamma,0.0955488,Detector,1
592,3,1,gamma,0.0411303,Detector,1
595,9,1,gamma,0.105511,Detector,1
598,2,1,gamma,0.255077,Detector,1
603,3,1,gamma,0.105229,Detector,1
605,2,1,gamma,1.62309,Detector,1
628,4,1,gamma,0.0624301,Detector,1
636,2,1,gamma,0.044562,Detector,1
640,3,1,gamma,0.123869,Detector,1
703,2,1,gamma,0.636818,Detector,1
707,2,1,gamma,0.340951,Detector,1
712,2,1,gamma,0.200221,Detector,1
728,2,1,gamma,0.208917,Detector,1
736,2,1,gamma,1.34658,Detector,1
750,2,1,gamma,1.22577,Detector,1
760,2,1,gamma,0.277772,Detector,1
806,3,1,gamma,0.0346255,Detector,1
842,2,1,gamma,0.121425,Detector,1
846,4,1,gamma,0.0567039,Detector,1
856,2,1,gamma,0.360728,Detector,1
869,6,1,gamma,0.0429512,Detector,1
873,4,3,gamma,0.0517431,Detector,1
876,4,1,gamma,0.195799,Detector,1
889,2,1,gamma,0.0230597,Detector,1
891,2,1,gamma,0.446076,Detector,1
895,2,1,gamma,0.03701,Detector,1
897,2,1,gamma,0.228247,Detector,1
916,4,1,gamma,0.58186,Detector,1
917,2,1,gamma,0.0484977,Detector,1
923,2,1,gamma,0.178409,Detector,1
932,3,1,gamma,0.185334,Detector,1
963,2,1,gamma,0.411815,Detector,1
1006,2,1,gamma,0.235433,Detector,1
1021,2,1,gamma,0.265078,Detector,1
1025,2,1,gamma,0.0817298,Detector,1
1032,2,1,gamma,0.260464,Detector,1
1037,8,1,gamma,0.0661536,Detector,1
1070,2,1,gamma,0.672446,Detector,1
1082,4,1,gamma,0.349047,Detector,1
1083,2,1,gamma,1.05945,Detector,1
1089,3,1,gamma,0.953033,Detector,1
1146,2,1,gamma,0.318932,Detector,1
1148,2,1,gamma,0.166952,Detector,1
1167,2,1,gamma,0.8525,Detector,1
1169,3,1,gamma,0.960889,Detector,1
1177,2,1,gamma,0.081995,Detector,1
1184,2,1,gamma,0.62798,Detector,1
1190,2,1,gamma,0.0976194,Detector,1
1191,2,1,gamma,0.0155678,Detector,1
1198,2,1,gamma,0.158314,Detector,1
1199,3,1,gamma,0.0293344,Detector,1
