EventID,TrackID,ParentID,Particle,KineticEnergy,Volume,DetectorID
1,4,1,gamma,0.0900559,Detector,1
9,3,1,gamma,1.15,Detector,1
12,3,1,gamma,0.0598494,Detector,1
13,2,1,gamma,0.762526,Detector,1
27,5,3,gamma,0.059483,Detector,1
29,2,1,gamma,1.6856,Detector,1
32,2,1,gamma,0.367746,Detector,1
33,2,1,gamma,0.339037,Detector,1
36,4,1,gamma,0.193742,Detector,1
42,3,1,gamma,0.158643,Detector,1
44,3,1,gamma,0.00854514,Detector,1
59,2,1,gamma,0.706029,Detector,1
72,2,1,gamma,0.45945,Detector,1
81,2,1,gamma,0.0527084,Detector,1
92,2,1,gamma,0.263138,Detector,1
99,2,1,gamma,0.891039,Detector,1
115,2,1,gamma,0.223245,Detector,1
123,2,1,gamma,0.291215,Detector,1
137,2,1,gamma,0.219498,Detector,1
149,2,1,gamma,0.309126,Detector,1
153,2,1,gamma,0.256781,Detector,1
155,2,1,gamma,0.0428367,Detector,1
156,3,1,gamma,0.519503,Detector,1
168,4,1,gamma,0.601807,Detector,1
176,3,1,gamma,0.218983,Detector,1
189,3,1,gamma,0.625674,Detector,1
190,2,1,gamma,0.0603183,Detector,1
203,4,2,gamma,0.058116,Detector,1
224,2,1,gamma,1.56499,Detector,1
234,2,1,gamma,0.185108,Detector,1
239,2,1,gamma,0.191814,Detector,1
250,3,1,gamma,0.129166,Detector,1
258,2,1,gamma,5.6151,Detector,1
270,2,1,gamma,0.356557,Detector,1
272,2,1,gamma,0.236492,Detector,1
278,2,1,gamma,0.0644774,Detector,1
279,3,1,gamma,0.0547841,Detector,1
288,3,1,gamma,0.838859,Detector,1
292,2,1,gamma,0.267106,Detector,1
298,4,2,gamma,0.059483,Detector,1
302,2,1,gamma,0.252407,Detector,1
308,2,1,gamma,0.0561009,Detector,1
311,2,1,gamma,0.056715,Detector,1
320,2,1,gamma,0.0435854,Detector,1
334,3,1,gamma,0.659229,Detector,1
336,3,1,gamma,0.867924,Detector,1
336,2,1,gamma,0.0672172,Detector,1
366,2,1,gamma,0.313424,Detector,1
368,4,2,gamma,0.397111,Detector,1
374,3,1,gamma,0.274718,Detector,1
380,2,1,gamma,0.610522,Detector,1
381,2,1,gamma,2.20304,Detector,1
385,3,1,gamma,0.0656319,Detector,1
386,2,1,gamma,0.418091,Detector,1
390,5,1,gamma,0.975032,Detector,1
392,3,1,gamma,0.660337,Detector,1
406,2,1,gamma,0.0566388,Detector,1
408,2,1,gamma,0.273594,Detector,1
409,2,1,gamma,0.388545,Detector,1
414,4,2,gamma,0.0674178,Detector,1
420,6,3,gamma,0.059483,Detector,1
423,2,1,gamma,0.0354942,Detector,1
431,6,1,gamma,0.749241,Detector,1
431,3,1,gamma,0.327449,Detector,1
433,3,1,gamma,0.223263,Detector,1
433,2,1,gamma,0.102293,Detector,1
437,2,1,gamma,0.911506,Detector,1
439,2,1,gamma,0.055916,Detector,1
441,2,1,gamma,0.472839,Detector,1
444,3,1,gamma,0.358337,Detector,1
449,2,1,gamma,0.144088,Detector,1
456,10,2,gamma,0.059483,Detector,1
460,2,1,gamma,0.0620403,Detector,1
462,3,1,gamma,0.405002,Detector,1
475,2,1,gamma,1.37571,Detector,1
495,4,2,gamma,0.0674178,Detector,1
504,4,1,gamma,0.264164,Detector,1
514,2,1,gamma,0.0616353,Detector,1
517,2,1,gamma,1.85737,Detector,1
529,3,1,gamma,0.13047,Detector,1
529,2,1,gamma,0.145595,Detector,1
532,9,3,gamma,0.059483,Detector,1
534,3,1,gamma,0.148057,Detector,1
537,2,1,gamma,0.136447,Detector,1
542,3,1,gamma,1.22416,Detector,1
542,2,1,gamma,0.204407,Detector,1
556,2,1,gamma,0.186177,Detector,1
557,4,2,gamma,0.058116,Detector,1
561,2,1,gamma,0.177232,Detector,1
563,2,1,gamma,0.0756699,Detector,1
565,2,1,gamma,0.273827,Detector,1
568,3,1,gamma,0.175647,Detector,1
581,3,1,gamma,0.176864,Detector,1
581,2,1,gamma,0.24372,Detector,1
586,2,1,gamma,0.0664346,Detector,1
596,2,1,gamma,1.37554,Detector,1
640,2,1,gamma,0.0360142,Detector,1
656,3,1,gamma,3.57908,Detector,1
658,4,1,gamma,0.708194,Detector,1
662,4,1,gamma,0.0400904,Detector,1
671,4,1,gamma,0.120882,Detector,1
672,2,1,gamma,0.40518,Detector,1
682,4,2,gamma,0.058116,Detector,1
685,4,1,gamma,0.696481,Detector,1
687,2,1,gamma,0.842683,Detector,1
714,2,1,gamma,0.0542224,Detector,1
716,3,1,gamma,0.199831,Detector,1
717,2,1,gamma,5.2908,Detector,1
720,2,1,gamma,0.273129,Detector,1
731,11,3,gamma,0.156211,Detector,1
750,2,1,gamma,0.0772793,Detector,1
762,4,2,gamma,0.059483,Detector,1
770,4,2,gamma,0.058116,Detector,1
775,2,1,gamma,0.246607,Detector,1
780,2,1,gamma,0.31497,Detector,1
786,3,1,gamma,0.0953111,Detector,1
790,2,1,gamma,1.07359,Detector,1
797,2,1,gamma,0.0634355,Detector,1
809,2,1,gamma,0.117458,Detector,1
829,2,1,gamma,0.697631,Detector,1
850,2,1,gamma,0.129099,Detector,1
858,15,11,gamma,0.0674178,Detector,1
858,2,1,gamma,0.586548,Detector,1
861,2,1,gamma,0.0626643,Detector,1
880,4,1,gamma,1.69614,Detector,1
880,2,1,gamma,0.113035,Detector,1
883,3,1,gamma,0.0312048,Detector,1
887,2,1,gamma,2.41993,Detector,1
888,2,1,gamma,0.012613,Detector,1
895,2,1,gamma,0.134232,Detector,1
908,2,1,gamma,0.689634,Detector,1
917,8,1,gamma,0.301465,Detector,1
917,7,1,gamma,0.108072,Detector,1
917,4,1,gamma,0.274994,Detector,1
922,2,1,gamma,0.288004,Detector,1
929,2,1,gamma,1.10684,Detector,1
942,2,1,gamma,0.584193,Detector,1
943,3,1,gamma,0.496464,Detector,1
957,2,1,gamma,0.314152,Detector,1
965,2,1,gamma,0.148936,Detector,1
967,2,1,gamma,0.285388,Detector,1
976,5,3,gamma,0.058116,Detector,1
976,2,1,gamma,1.0333,Detector,1
982,2,1,gamma,0.0794381,Detector,1
997,2,1,gamma,0.395863,Detector,1
1003,2,1,gamma,0.0417229,Detector,1
1009,6,4,gamma,0.0692004,Detector,1
1026,2,1,gamma,0.0726995,Detector,1
1032,2,1,gamma,0.0551825,Detector,1
1035,2,1,gamma,0.400806,Detector,1
1044,4,1,gamma,0.14805,Detector,1
1044,3,1,gamma,0.566965,Detector,1
1048,2,1,gamma,0.252373,Detector,1
1057,2,1,gamma,0.0298405,Detector,1
1066,2,1,gamma,0.464184,Detector,1
1074,2,1,gamma,1.013,Detector,1
1075,2,1,gamma,0.118854,Detector,1
1076,3,1,gamma,1.03595,Detector,1
1085,4,1,gamma,1.80256,Detector,1
1085,2,1,gamma,1.07678,Detector,1
1088,2,1,gamma,0.154235,Detector,1
1089,3,1,gamma,0.264132,Detector,1
1103,2,1,gamma,0.084468,Detector,1
1106,3,1,gamma,0.238381,Detector,1
1112,2,1,gamma,2.86368,Detector,1
1115,2,1,gamma,0.129475,Detector,1
1123,2,1,gamma,0.489172,Detector,1
