EventID,TrackID,ParentID,Particle,KineticEnergy,Volume,DetectorID
176,2,1,gamma,0.0289361,Detector,1
471,2,1,gamma,0.021978,Detector,1
512,2,1,gamma,0.131795,Detector,1
569,2,1,gamma,0.0399626,Detector,1
575,2,1,gamma,0.0208374,Detector,1
577,2,1,gamma,3.11962,Detector,1
629,2,1,gamma,0.00963179,Detector,1
780,2,1,gamma,1.17858,Detector,1
915,2,1,gamma,0.0459834,Detector,1
961,2,1,gamma,1.10619,Detector,1
1184,2,1,gamma,0.0949563,Detector,1
1265,2,1,gamma,0.12864,Detector,1
1364,2,1,gamma,0.229523,Detector,1
1399,2,1,gamma,0.425205,Detector,1
1478,2,1,gamma,0.0957224,Detector,1
1718,2,1,gamma,0.0786375,Detector,1
1722,2,1,gamma,0.562907,Detector,1
1770,2,1,gamma,0.578557,Detector,1
2208,2,1,gamma,0.0138745,Detector,1
2642,2,1,gamma,0.0141677,Detector,1
2651,2,1,gamma,2.2454,Detector,1
2850,2,1,gamma,0.0134115,Detector,1
2877,2,1,gamma,2.01803,Detector,1
2945,2,1,gamma,6.42783,Detector,1
3005,2,1,gamma,0.0162201,Detector,1
3159,2,1,gamma,0.0110415,Detector,1
3300,2,1,gamma,0.0268388,Detector,1
3412,2,1,gamma,0.0363018,Detector,1
3423,2,1,gamma,0.0371269,Detector,1
3431,2,1,gamma,0.0210531,Detector,1
3489,2,1,gamma,0.0487954,Detector,1
3499,2,1,gamma,0.0232879,Detector,1
3611,2,1,gamma,1.51535,Detector,1
3653,2,1,gamma,0.0137246,Detector,1
3722,2,1,gamma,0.0321466,Detector,1
3773,2,1,gamma,0.0339035,Detector,1
3818,2,1,gamma,0.0228549,Detector,1
4053,2,1,gamma,0.00894918,Detector,1
4068,2,1,gamma,0.245182,Detector,1
4089,2,1,gamma,0.126972,Detector,1
4103,2,1,gamma,0.308325,Detector,1
4188,2,1,gamma,0.0195857,Detector,1
4248,2,1,gamma,0.190581,Detector,1
4302,2,1,gamma,0.0362084,Detector,1
4378,2,1,gamma,0.0495583,Detector,1
4640,2,1,gamma,0.0833833,Detector,1
4760,2,1,gamma,1.69799,Detector,1
5079,2,1,gamma,0.133701,Detector,1
5083,2,1,gamma,0.0138446,Detector,1
5127,2,1,gamma,0.0205342,Detector,1
5128,2,1,gamma,0.0214256,Detector,1
5165,2,1,gamma,0.0353725,Detector,1
5316,2,1,gamma,0.320803,Detector,1
5356,2,1,gamma,0.0904619,Detector,1
5610,2,1,gamma,0.0410677,Detector,1
5646,2,1,gamma,0.0111573,Detector,1
6036,2,1,gamma,0.00691944,Detector,1
6125,2,1,gamma,0.241721,Detector,1
6134,2,1,gamma,0.496333,Detector,1
6222,2,1,gamma,0.0620501,Detector,1
6278,2,1,gamma,0.485445,Detector,1
6418,2,1,gamma,0.0857812,Detector,1
6634,2,1,gamma,0.0190908,Detector,1
6711,2,1,gamma,0.0210293,Detector,1
6803,2,1,gamma,0.0126577,Detector,1
6962,2,1,gamma,0.022263,Detector,1
6977,2,1,gamma,0.0197266,Detector,1
6993,2,1,gamma,0.0470284,Detector,1
7075,2,1,gamma,0.0118301,Detector,1
7087,2,1,gamma,0.0339467,Detector,1
7363,2,1,gamma,2.60879,Detector,1
7674,2,1,gamma,0.210018,Detector,1
7721,2,1,gamma,0.488323,Detector,1
7733,2,1,gamma,0.0262016,Detector,1
7985,2,1,gamma,0.0244061,Detector,1
8075,2,1,gamma,0.0821928,Detector,1
8107,2,1,gamma,0.282622,Detector,1
8208,2,1,gamma,0.247176,Detector,1
8264,2,1,gamma,0.620217,Detector,1
8300,2,1,gamma,0.156336,Detector,1
8377,2,1,gamma,0.0391794,Detector,1
8409,2,1,gamma,2.31282,Detector,1
8430,2,1,gamma,2.92056,Detector,1
8933,2,1,gamma,0.614272,Detector,1
9116,2,1,gamma,0.0377514,Detector,1
9148,2,1,gamma,0.198844,Detector,1
9416,2,1,gamma,0.0192989,Detector,1
9457,2,1,gamma,0.580986,Detector,1
9467,2,1,gamma,0.104571,Detector,1
9589,2,1,gamma,0.0196068,Detector,1
9598,2,1,gamma,0.0978533,Detector,1
9637,2,1,gamma,0.10666,Detector,1
9678,2,1,gamma,1.05829,Detector,1
9793,2,1,gamma,0.0830531,Detector,1
9963,2,1,gamma,1.81971,Detector,1
10001,2,1,gamma,0.0403318,Detector,1
10105,2,1,gamma,0.0847324,Detector,1
10217,2,1,gamma,0.00825091,Detector,1
10223,2,1,gamma,0.0977646,Detector,1
10295,2,1,gamma,0.0654864,Detector,1
10438,2,1,gamma,0.0173105,Detector,1
10683,2,1,gamma,0.0494193,Detector,1
10966,2,1,gamma,0.572649,Detector,1
11563,2,1,gamma,0.037286,Detector,1
11813,2,1,gamma,0.0836644,Detector,1
11815,2,1,gamma,0.158212,Detector,1
11816,2,1,gamma,0.00653882,Detector,1
11834,2,1,gamma,0.104771,Detector,1
11931,2,1,gamma,0.0367827,Detector,1
11951,2,1,gamma,0.213426,Detector,1
12134,2,1,gamma,0.0577917,Detector,1
12146,2,1,gamma,0.094358,Detector,1
12580,2,1,gamma,0.0100823,Detector,1
12820,2,1,gamma,0.122055,Detector,1
12826,2,1,gamma,0.0230885,Detector,1
12906,2,1,gamma,0.0218046,Detector,1
13016,2,1,gamma,0.00978361,Detector,1
13026,2,1,gamma,0.0241019,Detector,1
13118,2,1,gamma,0.113415,Detector,1
13123,2,1,gamma,0.0424938,Detector,1
13208,2,1,gamma,1.76022,Detector,1
13606,2,1,gamma,0.391316,Detector,1
13868,2,1,gamma,0.787023,Detector,1
14039,2,1,gamma,0.257222,Detector,1
14118,2,1,gamma,0.113498,Detector,1
14221,2,1,gamma,0.0570797,Detector,1
14244,2,1,gamma,0.0210299,Detector,1
14255,2,1,gamma,0.207195,Detector,1
14525,2,1,gamma,0.0188095,Detector,1
14564,2,1,gamma,0.633994,Detector,1
14655,2,1,gamma,0.0620354,Detector,1
14714,2,1,gamma,0.148336,Detector,1
14773,2,1,gamma,0.515528,Detector,1
15073,2,1,gamma,0.17413,Detector,1
15429,2,1,gamma,0.0495306,Detector,1
15505,2,1,gamma,1.1445,Detector,1
15849,2,1,gamma,0.031608,Detector,1
15876,2,1,gamma,0.0275598,Detector,1
15966,2,1,gamma,0.311758,Detector,1
16015,2,1,gamma,0.073675,Detector,1
16052,2,1,gamma,1.39174,Detector,1
16247,2,1,gamma,0.390766,Detector,1
16341,2,1,gamma,0.0360974,Detector,1
16638,2,1,gamma,1.5445,Detector,1
16710,2,1,gamma,0.14277,Detector,1
16766,2,1,gamma,0.432534,Detector,1
17067,2,1,gamma,0.0583992,Detector,1
17484,2,1,gamma,0.0609176,Detector,1
17669,2,1,gamma,0.164412,Detector,1
17867,2,1,gamma,0.333771,Detector,1
18036,2,1,gamma,0.01591,Detector,1
18496,2,1,gamma,0.242046,Detector,1
18534,2,1,gamma,0.852436,Detector,1
18551,2,1,gamma,0.102668,Detector,1
18583,2,1,gamma,0.00922599,Detector,1
18628,2,1,gamma,0.0601993,Detector,1
18738,2,1,gamma,0.327293,Detector,1
18921,2,1,gamma,0.150465,Detector,1
19151,2,1,gamma,0.117743,Detector,1
19261,2,1,gamma,0.0291419,Detector,1
19332,2,1,gamma,0.0121044,Detector,1
19475,2,1,gamma,0.13139,Detector,1
19741,2,1,gamma,0.0176063,Detector,1
19864,2,1,gamma,0.501652,Detector,1
20119,2,1,gamma,0.0214899,Detector,1
20386,2,1,gamma,0.0185046,Detector,1
20450,2,1,gamma,0.784416,Detector,1
20618,2,1,gamma,0.00785719,Detector,1
20689,2,1,gamma,0.0118554,Detector,1
20764,2,1,gamma,0.0193261,Detector,1
20852,2,1,gamma,0.0780002,Detector,1
21293,2,1,gamma,0.10626,Detector,1
21423,2,1,gamma,0.41831,Detector,1
21569,2,1,gamma,0.0188956,Detector,1
