EventID,TrackID,ParentID,Particle,KineticEnergy,Volume,DetectorID
96,2,1,gamma,3.26872,Detector,1
104,2,1,gamma,0.105398,Detector,1
187,2,1,gamma,0.0576346,Detector,1
220,2,1,gamma,0.102888,Detector,1
280,2,1,gamma,0.415175,Detector,1
384,2,1,gamma,0.272419,Detector,1
385,2,1,gamma,0.659647,Detector,1
401,2,1,gamma,0.0852407,Detector,1
409,2,1,gamma,0.711847,Detector,1
516,2,1,gamma,0.104709,Detector,1
522,2,1,gamma,0.309676,Detector,1
562,2,1,gamma,0.439506,Detector,1
620,2,1,gamma,0.466282,Detector,1
675,2,1,gamma,0.0857384,Detector,1
676,2,1,gamma,0.237524,Detector,1
728,2,1,gamma,1.06491,Detector,1
764,2,1,gamma,0.186756,Detector,1
768,2,1,gamma,0.0397505,Detector,1
789,2,1,gamma,0.133207,Detector,1
812,2,1,gamma,0.0397278,Detector,1
882,2,1,gamma,0.170671,Detector,1
890,2,1,gamma,3.70997,Detector,1
912,2,1,gamma,0.0148102,Detector,1
973,2,1,gamma,0.00863743,Detector,1
1009,2,1,gamma,0.0448829,Detector,1
1032,2,1,gamma,0.1352,Detector,1
1041,2,1,gamma,0.0173431,Detector,1
1054,2,1,gamma,1.03105,Detector,1
1056,2,1,gamma,0.482393,Detector,1
1122,2,1,gamma,0.0460261,Detector,1
1189,2,1,gamma,1.90598,Detector,1
1193,2,1,gamma,0.0184617,Detector,1
1202,2,1,gamma,0.0203242,Detector,1
1210,2,1,gamma,0.0329629,Detector,1
1300,2,1,gamma,0.247768,Detector,1
1324,2,1,gamma,0.662715,Detector,1
1326,2,1,gamma,0.285949,Detector,1
1334,2,1,gamma,0.0126018,Detector,1
1374,2,1,gamma,0.210995,Detector,1
1375,2,1,gamma,0.870383,Detector,1
1405,2,1,gamma,0.0503098,Detector,1
1415,2,1,gamma,0.0244659,Detector,1
1431,2,1,gamma,0.0647233,Detector,1
1454,2,1,gamma,1.13202,Detector,1
1469,2,1,gamma,0.0499518,Detector,1
1482,2,1,gamma,0.0145231,Detector,1
1499,2,1,gamma,0.0876695,Detector,1
1504,2,1,gamma,0.0810803,Detector,1
1545,2,1,gamma,0.0772177,Detector,1
1547,2,1,gamma,0.108172,Detector,1
1563,2,1,gamma,0.981308,Detector,1
1581,2,1,gamma,0.0625853,Detector,1
1636,2,1,gamma,0.0419917,Detector,1
1714,2,1,gamma,0.0194629,Detector,1
1743,2,1,gamma,0.319265,Detector,1
1841,2,1,gamma,0.0290544,Detector,1
1848,2,1,gamma,0.18897,Detector,1
1858,2,1,gamma,0.0246855,Detector,1
1873,2,1,gamma,0.0328864,Detector,1
1882,2,1,gamma,0.773008,Detector,1
1900,2,1,gamma,0.026188,Detector,1
1965,2,1,gamma,0.0192033,Detector,1
2111,2,1,gamma,0.546872,Detector,1
2125,2,1,gamma,0.0285891,Detector,1
2129,3,1,gamma,0.00650591,Detector,1
2129,2,1,gamma,0.032996,Detector,1
2199,2,1,gamma,0.0080118,Detector,1
2240,3,1,gamma,0.0933724,Detector,1
2248,2,1,gamma,0.0224389,Detector,1
2273,2,1,gamma,1.34824,Detector,1
