EventID,TrackID,ParentID,Particle,KineticEnergy,Volume,DetectorID
49,2,1,gamma,0.578822,Detector,1
57,2,1,gamma,0.249617,Detector,1
61,2,1,gamma,0.268082,Detector,1
90,2,1,gamma,0.188795,Detector,1
105,2,1,gamma,0.247331,Detector,1
136,2,1,gamma,1.25181,Detector,1
142,2,1,gamma,0.833192,Detector,1
149,2,1,gamma,0.13698,Detector,1
180,2,1,gamma,0.19359,Detector,1
195,2,1,gamma,0.139894,Detector,1
212,2,1,gamma,0.847535,Detector,1
213,2,1,gamma,1.60758,Detector,1
258,2,1,gamma,1.01086,Detector,1
269,2,1,gamma,0.0979973,Detector,1
283,2,1,gamma,0.188185,Detector,1
286,2,1,gamma,0.437286,Detector,1
288,2,1,gamma,0.829578,Detector,1
337,2,1,gamma,3.33374,Detector,1
341,2,1,gamma,0.473464,Detector,1
431,2,1,gamma,0.112948,Detector,1
449,2,1,gamma,0.184311,Detector,1
451,2,1,gamma,0.237924,Detector,1
497,2,1,gamma,1.0777,Detector,1
514,2,1,gamma,0.142944,Detector,1
545,2,1,gamma,0.471262,Detector,1
594,2,1,gamma,0.614302,Detector,1
595,2,1,gamma,0.271807,Detector,1
603,2,1,gamma,0.397367,Detector,1
611,2,1,gamma,0.316229,Detector,1
632,2,1,gamma,0.578847,Detector,1
676,2,1,gamma,0.697431,Detector,1
681,2,1,gamma,0.818787,Detector,1
683,2,1,gamma,0.106148,Detector,1
688,2,1,gamma,0.813923,Detector,1
696,2,1,gamma,0.216067,Detector,1
707,2,1,gamma,0.120352,Detector,1
741,2,1,gamma,0.147352,Detector,1
752,2,1,gamma,0.109333,Detector,1
770,2,1,gamma,1.76186,Detector,1
790,2,1,gamma,0.465731,Detector,1
874,2,1,gamma,0.098812,Detector,1
911,2,1,gamma,0.166284,Detector,1
930,2,1,gamma,0.432538,Detector,1
985,2,1,gamma,1.15045,Detector,1
1155,2,1,gamma,1.34832,Detector,1
1173,2,1,gamma,0.423522,Detector,1
1176,2,1,gamma,0.143544,Detector,1
1177,2,1,gamma,0.551823,Detector,1
1185,2,1,gamma,0.115428,Detector,1
1277,2,1,gamma,0.306174,Detector,1
1288,2,1,gamma,0.122167,Detector,1
1346,2,1,gamma,0.135912,Detector,1
1382,2,1,gamma,0.194641,Detector,1
1409,2,1,gamma,0.900248,Detector,1
1425,2,1,gamma,0.50212,Detector,1
1453,2,1,gamma,0.390891,Detector,1
1494,2,1,gamma,1.5785,Detector,1
1497,2,1,gamma,0.265236,Detector,1
1508,2,1,gamma,0.624456,Detector,1
1513,2,1,gamma,1.31182,Detector,1
1580,2,1,gamma,0.110744,Detector,1
1610,2,1,gamma,0.471936,Detector,1
1678,2,1,gamma,0.122923,Detector,1
1687,2,1,gamma,0.166937,Detector,1
1697,2,1,gamma,0.430918,Detector,1
1703,2,1,gamma,0.22346,Detector,1
1715,2,1,gamma,0.188067,Detector,1
1769,2,1,gamma,0.118438,Detector,1
1803,2,1,gamma,1.51588,Detector,1
1831,2,1,gamma,0.180688,Detector,1
1899,2,1,gamma,0.375411,Detector,1
1932,2,1,gamma,0.0962299,Detector,1
1961,2,1,gamma,1.25785,Detector,1
1970,2,1,gamma,0.367082,Detector,1
2006,2,1,gamma,0.215509,Detector,1
2034,2,1,gamma,0.112154,Detector,1
2045,2,1,gamma,0.322695,Detector,1
2060,2,1,gamma,0.372354,Detector,1
2086,2,1,gamma,0.571298,Detector,1
2174,2,1,gamma,0.218959,Detector,1
2186,3,2,gamma,0.122768,Detector,1
2213,2,1,gamma,0.338416,Detector,1
2214,2,1,gamma,1.27167,Detector,1
2257,2,1,gamma,1.29873,Detector,1
2287,2,1,gamma,0.248468,Detector,1
2299,2,1,gamma,0.325737,Detector,1
2358,2,1,gamma,0.619126,Detector,1
2375,2,1,gamma,0.287157,Detector,1
2393,2,1,gamma,0.964995,Detector,1
2444,2,1,gamma,0.116522,Detector,1
2465,2,1,gamma,1.34267,Detector,1
2560,2,1,gamma,0.233765,Detector,1
2566,2,1,gamma,0.127162,Detector,1
2652,2,1,gamma,1.0679,Detector,1
2794,2,1,gamma,0.158019,Detector,1
2937,2,1,gamma,0.244093,Detector,1
2949,2,1,gamma,0.100117,Detector,1
3007,2,1,gamma,3.0545,Detector,1
3013,2,1,gamma,1.37448,Detector,1
3043,2,1,gamma,0.2018,Detector,1
3133,2,1,gamma,0.11994,Detector,1
3170,2,1,gamma,0.559369,Detector,1
3202,2,1,gamma,0.409951,Detector,1
3205,2,1,gamma,1.17311,Detector,1
3211,2,1,gamma,0.572263,Detector,1
3337,2,1,gamma,0.194112,Detector,1
3344,2,1,gamma,0.194579,Detector,1
3407,2,1,gamma,0.524114,Detector,1
3410,2,1,gamma,0.106348,Detector,1
3439,2,1,gamma,0.388319,Detector,1
3495,2,1,gamma,0.827082,Detector,1
3498,2,1,gamma,0.794527,Detector,1
3565,2,1,gamma,0.210864,Detector,1
3628,2,1,gamma,0.378896,Detector,1
3674,2,1,gamma,0.299677,Detector,1
3713,2,1,gamma,0.33665,Detector,1
3747,2,1,gamma,0.697693,Detector,1
3796,2,1,gamma,0.501583,Detector,1
3881,2,1,gamma,0.16194,Detector,1
3939,2,1,gamma,0.246277,Detector,1
3947,2,1,gamma,0.169771,Detector,1
4008,2,1,gamma,0.0986016,Detector,1
4059,2,1,gamma,0.439752,Detector,1
4090,2,1,gamma,3.00256,Detector,1
4119,2,1,gamma,0.67707,Detector,1
4147,2,1,gamma,0.164229,Detector,1
4229,2,1,gamma,0.233003,Detector,1
4323,2,1,gamma,0.519374,Detector,1
4356,2,1,gamma,0.532826,Detector,1
4469,2,1,gamma,0.871922,Detector,1
4478,2,1,gamma,0.152787,Detector,1
4500,2,1,gamma,0.159246,Detector,1
4515,2,1,gamma,1.20855,Detector,1
4519,2,1,gamma,0.108171,Detector,1
4603,2,1,gamma,0.512197,Detector,1
4625,2,1,gamma,0.14555,Detector,1
4636,2,1,gamma,0.156819,Detector,1
4647,2,1,gamma,0.214824,Detector,1
4723,2,1,gamma,0.45746,Detector,1
4730,2,1,gamma,0.113339,Detector,1
4787,2,1,gamma,0.140519,Detector,1
4792,2,1,gamma,0.486003,Detector,1
4799,2,1,gamma,0.848413,Detector,1
4824,2,1,gamma,0.11104,Detector,1
4825,2,1,gamma,0.153713,Detector,1
4827,2,1,gamma,0.208493,Detector,1
4839,2,1,gamma,0.311705,Detector,1
4872,2,1,gamma,0.0965644,Detector,1
4876,2,1,gamma,1.10131,Detector,1
4881,2,1,gamma,0.0954218,Detector,1
4904,2,1,gamma,0.118871,Detector,1
4912,2,1,gamma,0.593889,Detector,1
4947,3,1,gamma,0.28423,Detector,1
4947,2,1,gamma,0.295069,Detector,1
5016,2,1,gamma,1.08251,Detector,1
5023,2,1,gamma,0.362457,Detector,1
5095,2,1,gamma,0.261686,Detector,1
5149,2,1,gamma,0.591803,Detector,1
5279,2,1,gamma,0.31011,Detector,1
5285,2,1,gamma,0.196786,Detector,1
5363,2,1,gamma,1.1316,Detector,1
5368,2,1,gamma,0.413423,Detector,1
5392,2,1,gamma,0.424551,Detector,1
5492,2,1,gamma,1.6465,Detector,1
5517,2,1,gamma,2.66495,Detector,1
5520,2,1,gamma,0.515965,Detector,1
5538,2,1,gamma,0.261065,Detector,1
5559,2,1,gamma,1.62537,Detector,1
5560,2,1,gamma,0.14193,Detector,1
5580,2,1,gamma,0.200988,Detector,1
5590,2,1,gamma,0.0994898,Detector,1
5632,2,1,gamma,0.156743,Detector,1
5633,2,1,gamma,0.320002,Detector,1
5708,2,1,gamma,1.85503,Detector,1
5724,2,1,gamma,0.726155,Detector,1
5726,2,1,gamma,0.162709,Detector,1
5737,2,1,gamma,0.187208,Detector,1
5754,2,1,gamma,0.375977,Detector,1
5767,2,1,gamma,0.127745,Detector,1
5769,2,1,gamma,0.114748,Detector,1
5839,2,1,gamma,0.288609,Detector,1
5852,2,1,gamma,0.275131,Detector,1
5860,2,1,gamma,0.33341,Detector,1
5867,2,1,gamma,0.233523,Detector,1
5868,2,1,gamma,0.264828,Detector,1
5870,2,1,gamma,0.343799,Detector,1
5875,2,1,gamma,1.03861,Detector,1
5894,2,1,gamma,0.335839,Detector,1
5958,2,1,gamma,0.247569,Detector,1
5965,2,1,gamma,0.485722,Detector,1
5975,2,1,gamma,2.05378,Detector,1
6015,2,1,gamma,0.340601,Detector,1
6070,2,1,gamma,0.285593,Detector,1
6095,2,1,gamma,0.228773,Detector,1
6110,2,1,gamma,0.359202,Detector,1
6140,2,1,gamma,1.35665,Detector,1
6158,2,1,gamma,0.184211,Detector,1
6193,2,1,gamma,0.223775,Detector,1
6236,2,1,gamma,0.235374,Detector,1
6268,2,1,gamma,0.472194,Detector,1
6313,2,1,gamma,0.115667,Detector,1
6351,2,1,gamma,2.5639,Detector,1
6355,2,1,gamma,0.455852,Detector,1
6393,2,1,gamma,1.39367,Detector,1
6452,2,1,gamma,0.120391,Detector,1
6473,2,1,gamma,1.37225,Detector,1
6489,2,1,gamma,0.59778,Detector,1
6495,2,1,gamma,3.20888,Detector,1
6565,2,1,gamma,0.908761,Detector,1
6589,2,1,gamma,0.190998,Detector,1
6607,2,1,gamma,1.25191,Detector,1
6626,2,1,gamma,3.70315,Detector,1
6651,2,1,gamma,0.28926,Detector,1
6657,2,1,gamma,0.161509,Detector,1
6760,2,1,gamma,0.105123,Detector,1
6765,2,1,gamma,0.388385,Detector,1
6830,2,1,gamma,0.380883,Detector,1
6842,2,1,gamma,0.102736,Detector,1
6867,2,1,gamma,0.236967,Detector,1
6889,2,1,gamma,0.245467,Detector,1
6968,2,1,gamma,0.585893,Detector,1
6986,2,1,gamma,2.73217,Detector,1
6997,2,1,gamma,0.324753,Detector,1
7094,2,1,gamma,0.616444,Detector,1
7174,2,1,gamma,0.992262,Detector,1
7230,2,1,gamma,0.313088,Detector,1
7283,2,1,gamma,0.106445,Detector,1
7292,2,1,gamma,0.604726,Detector,1
7306,2,1,gamma,1.01399,Detector,1
7322,2,1,gamma,0.815136,Detector,1
7341,2,1,gamma,0.740415,Detector,1
7375,2,1,gamma,1.09732,Detector,1
7519,2,1,gamma,2.46068,Detector,1
7521,2,1,gamma,0.149833,Detector,1
7532,2,1,gamma,0.220719,Detector,1
7573,3,1,gamma,0.226831,Detector,1
7573,2,1,gamma,0.12712,Detector,1
7574,2,1,gamma,1.98214,Detector,1
7593,2,1,gamma,0.445103,Detector,1
7610,2,1,gamma,0.244522,Detector,1
7615,2,1,gamma,0.247384,Detector,1
7625,2,1,gamma,0.109079,Detector,1
7646,2,1,gamma,0.145043,Detector,1
7687,2,1,gamma,0.418275,Detector,1
7704,2,1,gamma,0.162036,Detector,1
7749,2,1,gamma,0.905202,Detector,1
7765,2,1,gamma,0.11913,Detector,1
7780,2,1,gamma,0.365524,Detector,1
7786,2,1,gamma,0.1295,Detector,1
7825,2,1,gamma,0.52762,Detector,1
7838,2,1,gamma,0.375132,Detector,1
7842,2,1,gamma,0.231327,Detector,1
7860,2,1,gamma,0.108993,Detector,1
7868,2,1,gamma,0.108143,Detector,1
7879,2,1,gamma,1.25674,Detector,1
7905,2,1,gamma,0.257936,Detector,1
7956,2,1,gamma,0.246822,Detector,1
8009,2,1,gamma,0.171721,Detector,1
8053,2,1,gamma,0.158628,Detector,1
8055,2,1,gamma,0.35701,Detector,1
8137,2,1,gamma,0.310569,Detector,1
8174,2,1,gamma,0.502417,Detector,1
8178,2,1,gamma,0.539929,Detector,1
8206,2,1,gamma,0.199607,Detector,1
8207,2,1,gamma,0.250538,Detector,1
8226,2,1,gamma,0.553178,Detector,1
8277,2,1,gamma,0.125256,Detector,1
8296,2,1,gamma,0.221271,Detector,1
8311,2,1,gamma,0.312087,Detector,1
8350,2,1,gamma,0.135238,Detector,1
8353,2,1,gamma,0.322568,Detector,1
8375,2,1,gamma,0.113397,Detector,1
8435,2,1,gamma,0.204389,Detector,1
8472,2,1,gamma,0.114478,Detector,1
8489,2,1,gamma,6.34627,Detector,1
8496,2,1,gamma,0.629367,Detector,1
8498,2,1,gamma,0.957904,Detector,1
8535,2,1,gamma,0.178503,Detector,1
8538,2,1,gamma,0.14788,Detector,1
8559,2,1,gamma,0.176188,Detector,1
8565,2,1,gamma,0.111878,Detector,1
8603,2,1,gamma,0.239402,Detector,1
8671,2,1,gamma,0.786863,Detector,1
8702,2,1,gamma,0.248289,Detector,1
8717,2,1,gamma,0.117127,Detector,1
8733,2,1,gamma,0.135006,Detector,1
8766,2,1,gamma,0.104394,Detector,1
8811,2,1,gamma,0.123275,Detector,1
8812,2,1,gamma,0.180152,Detector,1
8813,2,1,gamma,0.250856,Detector,1
8916,2,1,gamma,0.106947,Detector,1
9018,2,1,gamma,0.280196,Detector,1
9063,2,1,gamma,1.48444,Detector,1
9072,2,1,gamma,0.649522,Detector,1
9076,2,1,gamma,0.565677,Detector,1
9097,2,1,gamma,0.264393,Detector,1
9099,2,1,gamma,0.134923,Detector,1
9123,2,1,gamma,1.87826,Detector,1
9129,2,1,gamma,0.160139,Detector,1
9205,2,1,gamma,2.45929,Detector,1
9217,2,1,gamma,0.128841,Detector,1
9236,2,1,gamma,2.00701,Detector,1
9379,2,1,gamma,0.760235,Detector,1
9396,2,1,gamma,0.132974,Detector,1
9432,2,1,gamma,0.139151,Detector,1
9453,2,1,gamma,0.301111,Detector,1
9489,2,1,gamma,0.125921,Detector,1
9495,2,1,gamma,1.49307,Detector,1
9505,2,1,gamma,1.29068,Detector,1
9601,2,1,gamma,0.201794,Detector,1
9613,2,1,gamma,0.161809,Detector,1
9626,2,1,gamma,1.15754,Detector,1
9664,2,1,gamma,0.843246,Detector,1
9728,2,1,gamma,1.29875,Detector,1
9753,2,1,gamma,0.104177,Detector,1
9758,2,1,gamma,1.01617,Detector,1
9761,2,1,gamma,0.11888,Detector,1
9780,2,1,gamma,0.111874,Detector,1
9783,2,1,gamma,0.169186,Detector,1
9797,3,1,gamma,0.131513,Detector,1
9812,2,1,gamma,0.362507,Detector,1
9848,2,1,gamma,0.566626,Detector,1
9858,2,1,gamma,1.88809,Detector,1
9890,2,1,gamma,0.484663,Detector,1
9892,2,1,gamma,0.246684,Detector,1
9921,2,1,gamma,0.315804,Detector,1
10069,2,1,gamma,0.097763,Detector,1
10081,2,1,gamma,1.24717,Detector,1
10097,2,1,gamma,0.409438,Detector,1
10105,2,1,gamma,0.365266,Detector,1
10107,2,1,gamma,0.350127,Detector,1
10131,2,1,gamma,0.158084,Detector,1
10184,2,1,gamma,0.164506,Detector,1
10245,2,1,gamma,1.04904,Detector,1
10266,2,1,gamma,0.720959,Detector,1
10276,2,1,gamma,0.342456,Detector,1
10380,2,1,gamma,0.644379,Detector,1
10391,2,1,gamma,0.248358,Detector,1
10411,2,1,gamma,0.127792,Detector,1
10449,2,1,gamma,0.235171,Detector,1
10564,2,1,gamma,0.185826,Detector,1
10609,2,1,gamma,0.634586,Detector,1
10652,2,1,gamma,0.124696,Detector,1
10657,2,1,gamma,0.269964,Detector,1
10678,2,1,gamma,0.265916,Detector,1
10728,3,1,gamma,0.301976,Detector,1
10728,2,1,gamma,0.153897,Detector,1
10785,2,1,gamma,0.454364,Detector,1
10801,2,1,gamma,0.373036,Detector,1
10868,2,1,gamma,0.687275,Detector,1
10879,2,1,gamma,0.611801,Detector,1
10882,2,1,gamma,0.584397,Detector,1
10898,2,1,gamma,1.47665,Detector,1
10969,2,1,gamma,0.114656,Detector,1
11007,2,1,gamma,0.978953,Detector,1
11045,2,1,gamma,0.130696,Detector,1
11067,2,1,gamma,0.0957679,Detector,1
11128,2,1,gamma,0.351866,Detector,1
11137,2,1,gamma,0.607101,Detector,1
11140,2,1,gamma,0.229252,Detector,1
11176,2,1,gamma,0.891472,Detector,1
11180,2,1,gamma,1.42645,Detector,1
11200,2,1,gamma,0.249254,Detector,1
11226,2,1,gamma,6.9944,Detector,1
11233,2,1,gamma,1.53991,Detector,1
11542,2,1,gamma,3.24338,Detector,1
11631,2,1,gamma,0.274835,Detector,1
11638,2,1,gamma,0.158997,Detector,1
11643,2,1,gamma,0.789849,Detector,1
11761,2,1,gamma,0.118423,Detector,1
11776,2,1,gamma,0.233469,Detector,1
11777,2,1,gamma,0.948374,Detector,1
11782,2,1,gamma,0.952515,Detector,1
11872,2,1,gamma,0.24622,Detector,1
11910,2,1,gamma,0.13903,Detector,1
11932,2,1,gamma,0.112174,Detector,1
12067,2,1,gamma,3.71472,Detector,1
12090,2,1,gamma,0.191935,Detector,1
12125,2,1,gamma,0.152672,Detector,1
12198,2,1,gamma,0.274983,Detector,1
12290,2,1,gamma,0.314222,Detector,1
12299,2,1,gamma,0.678176,Detector,1
12335,2,1,gamma,0.422016,Detector,1
12357,2,1,gamma,0.14623,Detector,1
12366,2,1,gamma,0.397863,Detector,1
12372,2,1,gamma,0.985365,Detector,1
12384,2,1,gamma,1.24178,Detector,1
12400,2,1,gamma,1.56192,Detector,1
12403,2,1,gamma,0.243458,Detector,1
12421,2,1,gamma,3.92028,Detector,1
12462,2,1,gamma,0.250463,Detector,1
12592,2,1,gamma,1.59941,Detector,1
12641,2,1,gamma,0.161564,Detector,1
12676,2,1,gamma,0.284479,Detector,1
12688,2,1,gamma,0.473397,Detector,1
12708,2,1,gamma,2.18091,Detector,1
12764,2,1,gamma,0.960286,Detector,1
12798,2,1,gamma,0.334646,Detector,1
12885,2,1,gamma,0.914658,Detector,1
12903,2,1,gamma,0.613983,Detector,1
12914,2,1,gamma,1.71772,Detector,1
12959,2,1,gamma,0.153423,Detector,1
13014,2,1,gamma,0.169139,Detector,1
13021,2,1,gamma,2.91834,Detector,1
13033,2,1,gamma,0.141543,Detector,1
13064,2,1,gamma,0.258752,Detector,1
13101,2,1,gamma,0.331406,Detector,1
13116,2,1,gamma,0.387856,Detector,1
13117,2,1,gamma,0.244084,Detector,1
13185,2,1,gamma,1.08701,Detector,1
13226,3,1,gamma,0.449291,Detector,1
13226,2,1,gamma,0.668642,Detector,1
13264,2,1,gamma,0.10621,Detector,1
13283,3,1,gamma,0.24621,Detector,1
13283,2,1,gamma,1.26644,Detector,1
13297,2,1,gamma,0.629826,Detector,1
13308,2,1,gamma,1.25751,Detector,1
13313,2,1,gamma,0.671119,Detector,1
13367,2,1,gamma,1.29687,Detector,1
13403,2,1,gamma,0.115084,Detector,1
13432,2,1,gamma,0.21363,Detector,1
