EventID,TrackID,ParentID,Particle,KineticEnergy,Volume,DetectorID
3,2,1,gamma,1.70542,Detector,1
5,2,1,gamma,5.81302,Detector,1
6,3,1,gamma,1.34178,Detector,1
6,5,2,gamma,0.305344,Detector,1
7,2,1,gamma,0.369097,Detector,1
10,3,1,gamma,1.32816,Detector,1
10,2,1,gamma,0.355767,Detector,1
15,2,1,gamma,1.16109,Detector,1
39,2,1,gamma,0.33333,Detector,1
44,2,1,gamma,0.624435,Detector,1
48,3,1,gamma,0.574177,Detector,1
48,2,1,gamma,0.494023,Detector,1
52,2,1,gamma,0.65304,Detector,1
55,2,1,gamma,0.568448,Detector,1
71,2,1,gamma,0.578185,Detector,1
72,3,2,gamma,0.316472,Detector,1
74,2,1,gamma,0.701547,Detector,1
78,2,1,gamma,0.460965,Detector,1
79,2,1,gamma,0.395534,Detector,1
86,4,1,gamma,0.136782,Detector,1
86,2,1,gamma,2.83698,Detector,1
87,3,1,gamma,0.276259,Detector,1
87,2,1,gamma,0.220952,Detector,1
96,3,1,gamma,0.215552,Detector,1
111,3,1,gamma,0.754709,Detector,1
113,2,1,gamma,0.344655,Detector,1
125,2,1,gamma,0.128511,Detector,1
126,2,1,gamma,0.720148,Detector,1
127,2,1,gamma,0.277706,Detector,1
129,2,1,gamma,0.454264,Detector,1
141,3,1,gamma,0.111004,Detector,1
141,2,1,gamma,1.82338,Detector,1
145,2,1,gamma,1.70698,Detector,1
146,3,1,gamma,0.300458,Detector,1
148,2,1,gamma,0.411784,Detector,1
150,2,1,gamma,0.405012,Detector,1
154,2,1,gamma,1.37132,Detector,1
155,2,1,gamma,0.523111,Detector,1
168,2,1,gamma,2.35674,Detector,1
180,2,1,gamma,0.313274,Detector,1
184,2,1,gamma,0.336852,Detector,1
188,4,1,gamma,0.835745,Detector,1
188,2,1,gamma,0.872381,Detector,1
194,2,1,gamma,0.646266,Detector,1
200,2,1,gamma,2.34299,Detector,1
206,2,1,gamma,0.490537,Detector,1
208,2,1,gamma,0.0979781,Detector,1
212,2,1,gamma,3.70966,Detector,1
214,3,1,gamma,1.73678,Detector,1
216,2,1,gamma,3.80018,Detector,1
218,3,1,gamma,0.180048,Detector,1
218,2,1,gamma,0.781374,Detector,1
219,2,1,gamma,2.05796,Detector,1
226,2,1,gamma,0.167562,Detector,1
232,3,1,gamma,0.236119,Detector,1
232,2,1,gamma,0.214695,Detector,1
233,3,1,gamma,0.206839,Detector,1
233,2,1,gamma,0.379335,Detector,1
239,2,1,gamma,0.60244,Detector,1
241,2,1,gamma,0.887828,Detector,1
243,2,1,gamma,0.252199,Detector,1
259,2,1,gamma,0.369117,Detector,1
262,2,1,gamma,3.48296,Detector,1
266,2,1,gamma,2.86773,Detector,1
274,2,1,gamma,1.55949,Detector,1
280,2,1,gamma,0.862274,Detector,1
289,2,1,gamma,0.388314,Detector,1
290,2,1,gamma,0.246036,Detector,1
291,2,1,gamma,3.84616,Detector,1
292,3,1,gamma,0.173119,Detector,1
294,2,1,gamma,0.174858,Detector,1
295,2,1,gamma,0.146473,Detector,1
298,2,1,gamma,0.215176,Detector,1
304,2,1,gamma,1.15925,Detector,1
306,4,1,gamma,0.804215,Detector,1
306,3,1,gamma,0.560177,Detector,1
314,2,1,gamma,0.391926,Detector,1
324,2,1,gamma,0.597103,Detector,1
326,2,1,gamma,2.00923,Detector,1
332,2,1,gamma,2.6343,Detector,1
334,2,1,gamma,0.159947,Detector,1
337,4,1,gamma,0.200062,Detector,1
337,2,1,gamma,0.984757,Detector,1
340,2,1,gamma,0.841157,Detector,1
343,4,1,gamma,0.395283,Detector,1
343,2,1,gamma,0.22924,Detector,1
355,2,1,gamma,0.165216,Detector,1
356,2,1,gamma,0.115949,Detector,1
361,2,1,gamma,0.666313,Detector,1
371,2,1,gamma,2.05196,Detector,1
373,2,1,gamma,0.428874,Detector,1
374,2,1,gamma,0.180293,Detector,1
380,3,1,gamma,0.16354,Detector,1
380,2,1,gamma,0.415885,Detector,1
385,2,1,gamma,0.155176,Detector,1
394,4,1,gamma,0.443565,Detector,1
394,3,1,gamma,0.1538,Detector,1
394,2,1,gamma,0.123549,Detector,1
396,2,1,gamma,1.12128,Detector,1
399,2,1,gamma,0.61346,Detector,1
406,2,1,gamma,0.432565,Detector,1
411,2,1,gamma,0.150429,Detector,1
416,2,1,gamma,0.890837,Detector,1
418,3,1,gamma,0.233865,Detector,1
418,2,1,gamma,0.258373,Detector,1
420,3,1,gamma,0.227999,Detector,1
423,2,1,gamma,1.00732,Detector,1
424,2,1,gamma,1.45084,Detector,1
427,2,1,gamma,0.584621,Detector,1
428,2,1,gamma,1.81019,Detector,1
432,2,1,gamma,3.39486,Detector,1
444,2,1,gamma,1.69587,Detector,1
454,2,1,gamma,0.418315,Detector,1
457,3,1,gamma,1.55938,Detector,1
460,2,1,gamma,0.0852172,Detector,1
465,2,1,gamma,0.296607,Detector,1
475,2,1,gamma,0.860894,Detector,1
482,2,1,gamma,0.863418,Detector,1
493,2,1,gamma,0.141304,Detector,1
494,2,1,gamma,2.45107,Detector,1
507,2,1,gamma,0.735307,Detector,1
513,2,1,gamma,0.73326,Detector,1
518,2,1,gamma,1.15291,Detector,1
527,3,1,gamma,0.175661,Detector,1
547,2,1,gamma,0.709167,Detector,1
549,2,1,gamma,0.167171,Detector,1
553,2,1,gamma,0.317569,Detector,1
556,2,1,gamma,1.30737,Detector,1
557,4,1,gamma,0.228676,Detector,1
557,2,1,gamma,1.65891,Detector,1
564,2,1,gamma,2.98775,Detector,1
565,2,1,gamma,0.362775,Detector,1
571,2,1,gamma,0.117383,Detector,1
572,2,1,gamma,0.3157,Detector,1
574,3,1,gamma,4.27626,Detector,1
574,2,1,gamma,0.290576,Detector,1
579,2,1,gamma,0.379683,Detector,1
594,2,1,gamma,0.535427,Detector,1
601,2,1,gamma,0.962647,Detector,1
604,2,1,gamma,0.846649,Detector,1
605,2,1,gamma,0.224116,Detector,1
621,2,1,gamma,0.189335,Detector,1
632,2,1,gamma,0.24304,Detector,1
633,2,1,gamma,0.202867,Detector,1
635,2,1,gamma,1.45915,Detector,1
640,2,1,gamma,2.34981,Detector,1
644,3,1,gamma,0.195309,Detector,1
644,2,1,gamma,0.18029,Detector,1
645,2,1,gamma,0.31948,Detector,1
647,2,1,gamma,0.590381,Detector,1
652,3,1,gamma,2.03827,Detector,1
658,3,1,gamma,0.336589,Detector,1
658,2,1,gamma,0.131612,Detector,1
670,3,1,gamma,2.65464,Detector,1
670,2,1,gamma,1.17843,Detector,1
671,2,1,gamma,0.16578,Detector,1
672,2,1,gamma,0.370347,Detector,1
673,3,2,gamma,0.723774,Detector,1
676,2,1,gamma,0.372474,Detector,1
682,3,1,gamma,0.900091,Detector,1
682,2,1,gamma,0.227492,Detector,1
703,2,1,gamma,0.57,Detector,1
704,2,1,gamma,0.965654,Detector,1
706,3,1,gamma,0.344207,Detector,1
706,2,1,gamma,0.360011,Detector,1
718,2,1,gamma,0.101556,Detector,1
721,3,1,gamma,0.960508,Detector,1
727,2,1,gamma,0.61243,Detector,1
730,2,1,gamma,0.429189,Detector,1
732,2,1,gamma,0.37947,Detector,1
744,2,1,gamma,0.349154,Detector,1
753,2,1,gamma,0.466235,Detector,1
756,3,1,gamma,1.08388,Detector,1
756,2,1,gamma,0.980506,Detector,1
761,2,1,gamma,0.588674,Detector,1
762,2,1,gamma,0.725944,Detector,1
764,2,1,gamma,0.10633,Detector,1
768,2,1,gamma,2.23811,Detector,1
770,2,1,gamma,0.692905,Detector,1
774,3,1,gamma,0.738786,Detector,1
774,2,1,gamma,0.217361,Detector,1
781,2,1,gamma,1.60413,Detector,1
784,2,1,gamma,0.767121,Detector,1
787,2,1,gamma,0.967971,Detector,1
794,2,1,gamma,0.296851,Detector,1
795,2,1,gamma,0.441046,Detector,1
809,4,1,gamma,1.23363,Detector,1
809,2,1,gamma,0.651016,Detector,1
810,2,1,gamma,0.219394,Detector,1
823,2,1,gamma,0.267462,Detector,1
830,2,1,gamma,2.17965,Detector,1
831,2,1,gamma,0.26184,Detector,1
837,3,1,gamma,0.973549,Detector,1
840,2,1,gamma,1.53241,Detector,1
850,3,1,gamma,0.647405,Detector,1
850,2,1,gamma,0.788766,Detector,1
853,2,1,gamma,0.36641,Detector,1
868,2,1,gamma,0.506474,Detector,1
870,2,1,gamma,0.91222,Detector,1
871,2,1,gamma,0.558037,Detector,1
872,2,1,gamma,0.183033,Detector,1
876,2,1,gamma,0.265912,Detector,1
877,2,1,gamma,1.80462,Detector,1
878,2,1,gamma,0.669614,Detector,1
896,2,1,gamma,1.18245,Detector,1
903,2,1,gamma,1.24219,Detector,1
904,2,1,gamma,0.172629,Detector,1
906,3,2,gamma,0.251441,Detector,1
910,2,1,gamma,0.328435,Detector,1
916,2,1,gamma,0.449487,Detector,1
927,2,1,gamma,0.187544,Detector,1
930,2,1,gamma,0.957006,Detector,1
931,2,1,gamma,2.87882,Detector,1
935,2,1,gamma,0.124014,Detector,1
938,2,1,gamma,0.813203,Detector,1
951,2,1,gamma,2.94156,Detector,1
952,5,1,gamma,0.332805,Detector,1
952,4,1,gamma,0.479421,Detector,1
955,2,1,gamma,1.85306,Detector,1
958,2,1,gamma,0.184557,Detector,1
972,2,1,gamma,2.66686,Detector,1
974,2,1,gamma,0.51948,Detector,1
977,2,1,gamma,0.203951,Detector,1
978,2,1,gamma,1.10013,Detector,1
980,2,1,gamma,0.214739,Detector,1
984,2,1,gamma,0.226122,Detector,1
985,4,1,gamma,0.703155,Detector,1
987,2,1,gamma,0.128824,Detector,1
996,3,1,gamma,0.129296,Detector,1
996,2,1,gamma,0.101876,Detector,1
1006,2,1,gamma,0.654082,Detector,1
1009,2,1,gamma,0.180716,Detector,1
1017,2,1,gamma,0.140344,Detector,1
1023,2,1,gamma,2.01652,Detector,1
1030,2,1,gamma,0.222094,Detector,1
1032,2,1,gamma,0.331356,Detector,1
1034,2,1,gamma,0.922505,Detector,1
1035,2,1,gamma,0.66476,Detector,1
1036,3,1,gamma,0.466837,Detector,1
1038,2,1,gamma,0.220519,Detector,1
1044,2,1,gamma,0.96079,Detector,1
1060,2,1,gamma,0.338157,Detector,1
1073,3,1,gamma,0.43057,Detector,1
1073,2,1,gamma,0.482235,Detector,1
1090,2,1,gamma,0.225377,Detector,1
1095,2,1,gamma,1.6184,Detector,1
1097,2,1,gamma,1.31483,Detector,1
1107,2,1,gamma,0.791725,Detector,1
1112,2,1,gamma,1.81537,Detector,1
1119,2,1,gamma,0.34341,Detector,1
1121,2,1,gamma,1.96242,Detector,1
1130,2,1,gamma,0.25304,Detector,1
1132,2,1,gamma,0.534083,Detector,1
1137,2,1,gamma,0.516006,Detector,1
1141,2,1,gamma,1.9851,Detector,1
1144,2,1,gamma,0.859046,Detector,1
1147,4,1,gamma,2.01073,Detector,1
1152,3,1,gamma,0.728705,Detector,1
1152,2,1,gamma,3.03126,Detector,1
1157,2,1,gamma,0.236504,Detector,1
1158,2,1,gamma,0.93245,Detector,1
1159,3,1,gamma,1.01694,Detector,1
1159,2,1,gamma,0.639488,Detector,1
1172,2,1,gamma,0.199188,Detector,1
1174,2,1,gamma,2.19573,Detector,1
1175,3,1,gamma,1.31976,Detector,1
1177,2,1,gamma,0.446592,Detector,1
1181,4,1,gamma,0.321959,Detector,1
1181,3,1,gamma,0.241193,Detector,1
1181,2,1,gamma,0.105557,Detector,1
1182,2,1,gamma,0.14541,Detector,1
1191,2,1,gamma,3.38413,Detector,1
1192,2,1,gamma,0.593366,Detector,1
1194,3,1,gamma,1.22718,Detector,1
1194,2,1,gamma,1.68761,Detector,1
1202,2,1,gamma,0.720218,Detector,1
1204,2,1,gamma,0.434163,Detector,1
1205,2,1,gamma,0.464857,Detector,1
1207,2,1,gamma,0.3283,Detector,1
1209,3,1,gamma,1.54549,Detector,1
1209,2,1,gamma,1.38019,Detector,1
1213,2,1,gamma,0.555116,Detector,1
1220,2,1,gamma,0.350581,Detector,1
1224,2,1,gamma,1.07183,Detector,1
1231,2,1,gamma,3.29158,Detector,1
1234,2,1,gamma,0.871126,Detector,1
1236,3,1,gamma,0.489732,Detector,1
1236,2,1,gamma,0.728543,Detector,1
1240,2,1,gamma,0.277456,Detector,1
1245,2,1,gamma,1.52355,Detector,1
1261,2,1,gamma,0.554547,Detector,1
1263,2,1,gamma,2.12384,Detector,1
1270,3,1,gamma,0.125526,Detector,1
1271,4,2,gamma,0.7537,Detector,1
1271,3,2,gamma,0.2427,Detector,1
1275,2,1,gamma,0.853726,Detector,1
1278,3,1,gamma,0.383893,Detector,1
1279,2,1,gamma,0.151293,Detector,1
1286,2,1,gamma,0.129955,Detector,1
1290,2,1,gamma,0.658843,Detector,1
1291,2,1,gamma,0.127552,Detector,1
1293,2,1,gamma,0.949172,Detector,1
1301,2,1,gamma,0.537187,Detector,1
