EventID,TrackID,ParentID,Particle,KineticEnergy,Volume,DetectorID
13,2,1,gamma,0.427548,Detector,1
38,2,1,gamma,0.133236,Detector,1
48,2,1,gamma,0.218098,Detector,1
50,2,1,gamma,0.424882,Detector,1
56,2,1,gamma,0.822222,Detector,1
128,2,1,gamma,0.70934,Detector,1
133,2,1,gamma,0.650725,Detector,1
134,2,1,gamma,0.160415,Detector,1
154,2,1,gamma,0.111467,Detector,1
171,2,1,gamma,0.214992,Detector,1
201,3,1,gamma,0.795457,Detector,1
201,2,1,gamma,0.149157,Detector,1
210,2,1,gamma,0.353269,Detector,1
232,2,1,gamma,0.684103,Detector,1
254,2,1,gamma,0.136959,Detector,1
358,2,1,gamma,0.451001,Detector,1
359,2,1,gamma,2.94434,Detector,1
375,2,1,gamma,0.147146,Detector,1
379,2,1,gamma,0.403075,Detector,1
412,2,1,gamma,1.81092,Detector,1
422,2,1,gamma,0.557132,Detector,1
424,2,1,gamma,0.0982657,Detector,1
425,2,1,gamma,1.71221,Detector,1
461,2,1,gamma,0.339398,Detector,1
484,2,1,gamma,0.155574,Detector,1
518,2,1,gamma,0.172797,Detector,1
524,2,1,gamma,0.212867,Detector,1
533,2,1,gamma,0.161818,Detector,1
546,2,1,gamma,0.217587,Detector,1
564,2,1,gamma,0.279104,Detector,1
574,2,1,gamma,0.386575,Detector,1
633,2,1,gamma,1.08457,Detector,1
690,2,1,gamma,0.372943,Detector,1
692,2,1,gamma,1.05765,Detector,1
726,2,1,gamma,1.38927,Detector,1
727,2,1,gamma,0.130075,Detector,1
746,2,1,gamma,0.20526,Detector,1
748,2,1,gamma,0.74233,Detector,1
768,2,1,gamma,2.02319,Detector,1
786,2,1,gamma,0.269796,Detector,1
805,2,1,gamma,0.13222,Detector,1
835,2,1,gamma,0.417627,Detector,1
841,2,1,gamma,1.21089,Detector,1
888,2,1,gamma,0.14086,Detector,1
902,2,1,gamma,0.122851,Detector,1
919,2,1,gamma,0.268334,Detector,1
924,2,1,gamma,1.24254,Detector,1
927,2,1,gamma,0.157017,Detector,1
931,2,1,gamma,0.143115,Detector,1
972,2,1,gamma,0.562378,Detector,1
988,2,1,gamma,0.130238,Detector,1
991,2,1,gamma,0.172534,Detector,1
996,2,1,gamma,0.124119,Detector,1
1002,2,1,gamma,0.124369,Detector,1
1006,3,1,gamma,2.25506,Detector,1
1006,2,1,gamma,0.121414,Detector,1
1019,2,1,gamma,0.417533,Detector,1
1034,2,1,gamma,0.142772,Detector,1
1047,2,1,gamma,0.195351,Detector,1
1067,2,1,gamma,0.825795,Detector,1
1092,2,1,gamma,0.144885,Detector,1
1145,2,1,gamma,1.6169,Detector,1
1160,2,1,gamma,0.937441,Detector,1
1195,2,1,gamma,1.24698,Detector,1
1211,2,1,gamma,0.169443,Detector,1
1224,2,1,gamma,0.955534,Detector,1
1231,2,1,gamma,0.0969677,Detector,1
1239,2,1,gamma,1.48707,Detector,1
1258,2,1,gamma,0.52319,Detector,1
1278,2,1,gamma,0.133686,Detector,1
1303,2,1,gamma,0.429417,Detector,1
1305,2,1,gamma,0.983972,Detector,1
1313,2,1,gamma,0.126132,Detector,1
1325,2,1,gamma,0.259529,Detector,1
1341,2,1,gamma,0.186538,Detector,1
1352,2,1,gamma,0.191248,Detector,1
1403,2,1,gamma,0.12059,Detector,1
1412,2,1,gamma,0.527413,Detector,1
1445,2,1,gamma,0.25794,Detector,1
