EventID,TrackID,ParentID,Particle,KineticEnergy,Volume,DetectorID
3,3,1,gamma,0.144812,Detector,1
11,2,1,gamma,4.84441,Detector,1
14,3,1,gamma,0.529435,Detector,1
25,3,1,gamma,0.283665,Detector,1
25,2,1,gamma,0.463519,Detector,1
43,2,1,gamma,0.7573,Detector,1
53,2,1,gamma,0.244555,Detector,1
60,3,1,gamma,0.345986,Detector,1
60,2,1,gamma,0.737215,Detector,1
63,2,1,gamma,0.24962,Detector,1
65,2,1,gamma,0.384997,Detector,1
66,3,1,gamma,0.203061,Detector,1
66,2,1,gamma,0.283995,Detector,1
68,3,1,gamma,0.748154,Detector,1
73,2,1,gamma,0.581892,Detector,1
75,2,1,gamma,0.2156,Detector,1
78,2,1,gamma,2.65301,Detector,1
82,3,1,gamma,0.645701,Detector,1
91,3,1,gamma,0.624738,Detector,1
91,2,1,gamma,0.748153,Detector,1
95,3,1,gamma,1.20687,Detector,1
95,2,1,gamma,0.764112,Detector,1
96,4,1,gamma,1.75128,Detector,1
96,3,1,gamma,1.14798,Detector,1
96,2,1,gamma,0.560664,Detector,1
97,2,1,gamma,3.17321,Detector,1
98,3,1,gamma,0.824491,Detector,1
98,2,1,gamma,1.07613,Detector,1
102,3,1,gamma,0.211224,Detector,1
103,2,1,gamma,0.483298,Detector,1
105,2,1,gamma,0.166963,Detector,1
109,3,1,gamma,2.52817,Detector,1
109,2,1,gamma,0.778445,Detector,1
118,2,1,gamma,0.540208,Detector,1
119,2,1,gamma,0.233726,Detector,1
124,4,1,gamma,1.11475,Detector,1
124,2,1,gamma,0.215949,Detector,1
125,2,1,gamma,1.14796,Detector,1
128,2,1,gamma,5.75783,Detector,1
130,3,1,gamma,0.217722,Detector,1
130,2,1,gamma,1.97744,Detector,1
140,2,1,gamma,0.371343,Detector,1
143,2,1,gamma,0.287916,Detector,1
146,2,1,gamma,0.706553,Detector,1
147,2,1,gamma,1.49101,Detector,1
154,2,1,gamma,1.1571,Detector,1
159,2,1,gamma,2.2469,Detector,1
168,2,1,gamma,0.683236,Detector,1
172,2,1,gamma,0.150718,Detector,1
174,2,1,gamma,0.305071,Detector,1
176,2,1,gamma,0.962385,Detector,1
177,2,1,gamma,0.744777,Detector,1
179,3,1,gamma,0.367507,Detector,1
185,2,1,gamma,2.49117,Detector,1
195,3,1,gamma,0.331698,Detector,1
195,2,1,gamma,0.577609,Detector,1
196,3,1,gamma,0.114765,Detector,1
196,2,1,gamma,0.176452,Detector,1
201,2,1,gamma,0.349162,Detector,1
206,3,1,gamma,0.10721,Detector,1
212,3,1,gamma,0.966019,Detector,1
212,2,1,gamma,0.526583,Detector,1
213,2,1,gamma,0.271466,Detector,1
220,2,1,gamma,0.470844,Detector,1
222,2,1,gamma,0.345063,Detector,1
228,2,1,gamma,0.677168,Detector,1
233,2,1,gamma,1.43037,Detector,1
241,3,1,gamma,1.01858,Detector,1
241,2,1,gamma,0.873693,Detector,1
246,2,1,gamma,0.501573,Detector,1
249,2,1,gamma,0.129332,Detector,1
256,3,1,gamma,0.427673,Detector,1
273,4,1,gamma,0.165573,Detector,1
273,3,1,gamma,0.491814,Detector,1
277,5,2,gamma,0.452347,Detector,1
281,2,1,gamma,0.323206,Detector,1
286,2,1,gamma,1.26036,Detector,1
289,2,1,gamma,0.0950467,Detector,1
290,2,1,gamma,0.413346,Detector,1
295,2,1,gamma,0.212668,Detector,1
296,2,1,gamma,0.255933,Detector,1
301,2,1,gamma,0.521786,Detector,1
313,2,1,gamma,1.38926,Detector,1
314,2,1,gamma,0.31952,Detector,1
326,3,1,gamma,0.816408,Detector,1
327,4,1,gamma,0.561003,Detector,1
333,2,1,gamma,0.361367,Detector,1
334,2,1,gamma,0.244992,Detector,1
338,2,1,gamma,1.0542,Detector,1
339,3,1,gamma,0.178561,Detector,1
341,3,2,gamma,0.257975,Detector,1
345,2,1,gamma,0.204968,Detector,1
354,2,1,gamma,1.20691,Detector,1
355,2,1,gamma,0.660889,Detector,1
360,3,1,gamma,0.144753,Detector,1
361,3,1,gamma,0.240988,Detector,1
368,2,1,gamma,0.27224,Detector,1
369,4,1,gamma,0.448,Detector,1
369,2,1,gamma,0.244857,Detector,1
370,2,1,gamma,1.18737,Detector,1
373,2,1,gamma,1.64849,Detector,1
375,2,1,gamma,0.671069,Detector,1
384,4,1,gamma,0.245908,Detector,1
384,3,1,gamma,0.641115,Detector,1
384,5,2,gamma,0.588857,Detector,1
396,2,1,gamma,2.40785,Detector,1
400,2,1,gamma,0.526639,Detector,1
402,2,1,gamma,2.52543,Detector,1
411,2,1,gamma,0.154658,Detector,1
413,2,1,gamma,1.48085,Detector,1
415,2,1,gamma,0.17632,Detector,1
417,2,1,gamma,0.200357,Detector,1
426,2,1,gamma,0.605998,Detector,1
437,2,1,gamma,0.234546,Detector,1
441,2,1,gamma,0.367142,Detector,1
444,2,1,gamma,0.742503,Detector,1
445,2,1,gamma,0.237217,Detector,1
446,2,1,gamma,0.289016,Detector,1
450,2,1,gamma,0.983452,Detector,1
456,3,1,gamma,2.02316,Detector,1
456,2,1,gamma,1.23462,Detector,1
459,3,1,gamma,3.64545,Detector,1
466,2,1,gamma,0.907006,Detector,1
469,2,1,gamma,0.194148,Detector,1
470,2,1,gamma,3.27507,Detector,1
472,2,1,gamma,1.29051,Detector,1
473,2,1,gamma,0.260506,Detector,1
474,2,1,gamma,0.461063,Detector,1
476,3,1,gamma,0.500372,Detector,1
476,2,1,gamma,0.503671,Detector,1
477,2,1,gamma,1.95255,Detector,1
482,2,1,gamma,0.845465,Detector,1
487,2,1,gamma,0.496632,Detector,1
491,2,1,gamma,0.118521,Detector,1
492,2,1,gamma,0.106849,Detector,1
494,2,1,gamma,3.36055,Detector,1
497,2,1,gamma,0.546468,Detector,1
507,2,1,gamma,1.51479,Detector,1
520,3,1,gamma,0.199871,Detector,1
522,2,1,gamma,0.126711,Detector,1
527,3,1,gamma,0.346688,Detector,1
528,2,1,gamma,0.526586,Detector,1
531,2,1,gamma,0.253064,Detector,1
538,2,1,gamma,0.174104,Detector,1
540,2,1,gamma,1.77367,Detector,1
542,2,1,gamma,0.189232,Detector,1
543,5,1,gamma,0.797511,Detector,1
543,2,1,gamma,0.705904,Detector,1
