EventID,TrackID,ParentID,Particle,KineticEnergy,Volume,DetectorID
16,2,1,gamma,0.342621,Detector,1
144,2,1,gamma,1.08566,Detector,1
156,2,1,gamma,0.200934,Detector,1
157,2,1,gamma,0.282471,Detector,1
163,2,1,gamma,0.120084,Detector,1
164,2,1,gamma,0.126418,Detector,1
199,2,1,gamma,0.384048,Detector,1
246,2,1,gamma,0.185554,Detector,1
257,2,1,gamma,0.172134,Detector,1
286,2,1,gamma,0.461592,Detector,1
354,2,1,gamma,0.245664,Detector,1
367,2,1,gamma,0.828751,Detector,1
369,2,1,gamma,0.407655,Detector,1
401,2,1,gamma,0.218854,Detector,1
420,2,1,gamma,0.391016,Detector,1
426,3,1,gamma,0.192483,Detector,1
426,2,1,gamma,0.174043,Detector,1
476,2,1,gamma,0.289843,Detector,1
485,2,1,gamma,0.213063,Detector,1
498,2,1,gamma,0.889157,Detector,1
510,2,1,gamma,0.542006,Detector,1
517,2,1,gamma,2.60392,Detector,1
538,2,1,gamma,0.120857,Detector,1
545,2,1,gamma,0.246878,Detector,1
560,2,1,gamma,0.180959,Detector,1
593,3,1,gamma,0.911723,Detector,1
593,2,1,gamma,0.103928,Detector,1
615,2,1,gamma,0.146927,Detector,1
633,2,1,gamma,0.224613,Detector,1
642,2,1,gamma,0.202692,Detector,1
654,2,1,gamma,0.134732,Detector,1
666,2,1,gamma,0.387167,Detector,1
677,2,1,gamma,0.10063,Detector,1
686,2,1,gamma,6.34396,Detector,1
722,2,1,gamma,2.23235,Detector,1
726,2,1,gamma,0.831513,Detector,1
727,2,1,gamma,0.166372,Detector,1
739,2,1,gamma,0.375029,Detector,1
745,2,1,gamma,3.68397,Detector,1
786,2,1,gamma,0.135172,Detector,1
804,2,1,gamma,0.215148,Detector,1
809,2,1,gamma,0.833201,Detector,1
848,2,1,gamma,0.651779,Detector,1
924,2,1,gamma,0.11122,Detector,1
933,2,1,gamma,0.733047,Detector,1
968,2,1,gamma,0.110643,Detector,1
970,2,1,gamma,0.125479,Detector,1
1001,2,1,gamma,0.278571,Detector,1
1020,2,1,gamma,0.12942,Detector,1
1024,2,1,gamma,0.151338,Detector,1
1061,2,1,gamma,0.153772,Detector,1
1075,2,1,gamma,0.228182,Detector,1
1109,2,1,gamma,0.315095,Detector,1
1158,2,1,gamma,0.183385,Detector,1
1181,2,1,gamma,0.390983,Detector,1
1183,2,1,gamma,0.947195,Detector,1
1192,2,1,gamma,0.152557,Detector,1
1214,2,1,gamma,0.210166,Detector,1
1215,2,1,gamma,1.32564,Detector,1
1244,2,1,gamma,0.915844,Detector,1
1245,2,1,gamma,1.46651,Detector,1
1270,2,1,gamma,0.502499,Detector,1
1282,2,1,gamma,0.212092,Detector,1
1294,2,1,gamma,1.25916,Detector,1
1306,2,1,gamma,0.462001,Detector,1
1326,2,1,gamma,0.386652,Detector,1
1336,2,1,gamma,0.86752,Detector,1
1352,2,1,gamma,0.108056,Detector,1
1361,2,1,gamma,0.227938,Detector,1
1374,2,1,gamma,1.50919,Detector,1
1411,2,1,gamma,0.242536,Detector,1
1415,2,1,gamma,0.470065,Detector,1
1440,2,1,gamma,0.467556,Detector,1
1473,2,1,gamma,0.232972,Detector,1
1489,2,1,gamma,0.101726,Detector,1
1509,2,1,gamma,0.220852,Detector,1
1545,2,1,gamma,0.129863,Detector,1
