EventID,TrackID,ParentID,Particle,KineticEnergy,Volume,DetectorID
3,2,1,gamma,0.618289,Detector,1
15,2,1,gamma,1.05822,Detector,1
17,2,1,gamma,0.342448,Detector,1
28,3,1,gamma,1.16585,Detector,1
30,2,1,gamma,0.260647,Detector,1
31,2,1,gamma,0.468817,Detector,1
33,4,1,gamma,0.325781,Detector,1
47,2,1,gamma,0.323847,Detector,1
50,2,1,gamma,0.933375,Detector,1
59,2,1,gamma,0.144589,Detector,1
60,2,1,gamma,0.816945,Detector,1
61,2,1,gamma,1.38278,Detector,1
64,2,1,gamma,0.295337,Detector,1
78,2,1,gamma,0.153886,Detector,1
81,2,1,gamma,0.231513,Detector,1
90,3,1,gamma,3.3345,Detector,1
90,2,1,gamma,1.36232,Detector,1
93,2,1,gamma,1.46984,Detector,1
95,3,1,gamma,0.313478,Detector,1
98,4,1,gamma,0.86836,Detector,1
98,3,1,gamma,1.1328,Detector,1
101,3,1,gamma,1.79165,Detector,1
101,2,1,gamma,0.791293,Detector,1
102,2,1,gamma,0.280725,Detector,1
106,3,1,gamma,1.70684,Detector,1
111,2,1,gamma,0.302365,Detector,1
117,3,1,gamma,0.474676,Detector,1
117,2,1,gamma,2.61155,Detector,1
119,2,1,gamma,3.40368,Detector,1
120,2,1,gamma,1.50891,Detector,1
122,2,1,gamma,0.14685,Detector,1
128,2,1,gamma,0.202158,Detector,1
136,2,1,gamma,1.77161,Detector,1
138,2,1,gamma,1.35647,Detector,1
150,2,1,gamma,0.124479,Detector,1
152,4,1,gamma,0.493421,Detector,1
152,3,1,gamma,0.451308,Detector,1
153,2,1,gamma,0.742578,Detector,1
155,2,1,gamma,0.26924,Detector,1
156,2,1,gamma,0.275404,Detector,1
157,3,1,gamma,0.359668,Detector,1
157,2,1,gamma,2.51587,Detector,1
158,2,1,gamma,0.60591,Detector,1
162,2,1,gamma,0.571958,Detector,1
167,2,1,gamma,1.77781,Detector,1
170,2,1,gamma,2.98751,Detector,1
172,2,1,gamma,0.304671,Detector,1
173,2,1,gamma,0.218523,Detector,1
178,2,1,gamma,0.164471,Detector,1
186,2,1,gamma,1.49157,Detector,1
199,3,1,gamma,0.32722,Detector,1
203,2,1,gamma,1.46373,Detector,1
209,4,1,gamma,0.116639,Detector,1
209,2,1,gamma,2.86535,Detector,1
213,2,1,gamma,1.44091,Detector,1
215,3,1,gamma,0.149034,Detector,1
215,2,1,gamma,0.607521,Detector,1
217,2,1,gamma,0.172542,Detector,1
218,4,1,gamma,0.732851,Detector,1
218,3,1,gamma,2.42816,Detector,1
221,2,1,gamma,1.95768,Detector,1
225,2,1,gamma,1.58349,Detector,1
226,3,1,gamma,0.198717,Detector,1
226,2,1,gamma,0.619526,Detector,1
227,3,1,gamma,1.1179,Detector,1
233,2,1,gamma,0.546883,Detector,1
234,3,1,gamma,1.40541,Detector,1
234,2,1,gamma,0.188332,Detector,1
236,4,1,gamma,2.65863,Detector,1
236,2,1,gamma,0.163988,Detector,1
241,2,1,gamma,0.899592,Detector,1
244,2,1,gamma,0.319478,Detector,1
251,2,1,gamma,0.309442,Detector,1
253,2,1,gamma,0.43327,Detector,1
258,2,1,gamma,0.546799,Detector,1
261,2,1,gamma,0.309692,Detector,1
262,3,1,gamma,0.117139,Detector,1
262,2,1,gamma,1.37456,Detector,1
265,3,1,gamma,0.283339,Detector,1
266,2,1,gamma,0.261459,Detector,1
278,2,1,gamma,0.649698,Detector,1
