Energy_MeV,Counts
0.001,0
0.003,0
0.005,0
0.007,0
0.009000000000000001,44
0.011,16
0.013000000000000001,11
0.015,12
0.017,12
0.019000000000000003,26
0.020999999999999998,21
0.023,21
0.025,33
0.027000000000000003,32
0.028999999999999998,46
0.031,45
0.033,52
0.035,51
0.037000000000000005,61
0.039,77
0.041,86
0.043,81
0.045,101
0.047,103
0.049,106
0.051000000000000004,108
0.053000000000000005,142
0.055,115
0.057,129
0.059,955
0.061,130
0.063,124
0.065,114
0.067,303
0.069,168
0.07100000000000001,42
0.07300000000000001,51
0.075,32
0.077,48
0.079,37
0.081,53
0.083,51
0.085,42
0.087,52
0.089,44
0.091,59
0.093,47
0.095,53
0.097,61
0.099,59
0.101,64
0.10300000000000001,57
0.10500000000000001,62
0.107,66
0.109,66
0.111,55
0.113,73
0.115,69
0.117,71
0.119,53
0.121,54
0.123,73
0.125,47
0.127,64
0.129,60
0.131,56
0.133,45
0.135,63
0.137,58
0.139,61
0.14100000000000001,52
0.14300000000000002,54
0.14500000000000002,58
0.147,58
0.149,60
0.151,66
0.153,45
0.155,38
0.157,48
0.159,47
0.161,56
0.163,56
0.165,51
0.167,53
0.169,65
0.171,54
0.17300000000000001,51
0.175,45
0.177,43
0.179,56
0.181,45
0.183,47
0.185,46
0.187,50
0.189,48
0.191,42
0.193,58
0.195,41
0.197,42
0.199,54
0.201,47
0.203,41
0.20500000000000002,51
0.20700000000000002,46
0.20900000000000002,35
0.211,52
0.213,48
0.215,37
0.217,43
0.219,50
0.221,48
0.223,31
0.225,40
0.227,46
0.229,40
0.231,47
0.233,41
0.23500000000000001,43
0.23700000000000002,49
0.239,38
0.241,44
0.243,34
0.245,39
0.247,40
0.249,45
0.251,38
0.253,40
0.255,33
0.257,40
0.259,38
0.261,34
0.263,32
0.265,34
0.267,38
0.269,47
0.271,32
0.273,45
0.275,36
0.277,27
0.279,24
0.281,43
0.28300000000000003,36
0.28500000000000003,40
0.28700000000000003,37
0.28900000000000003,35
0.291,34
0.293,25
0.295,33
0.297,42
0.299,26
0.301,25
0.303,30
0.305,37
0.307,27
0.309,27
0.311,34
0.313,18
0.315,33
0.317,31
0.319,29
0.321,26
0.323,30
0.325,24
0.327,23
0.329,30
0.331,20
0.333,20
0.335,23
0.337,34
0.339,29
0.341,27
0.343,28
0.34500000000000003,27
0.34700000000000003,29
0.34900000000000003,36
0.351,25
0.353,28
0.355,20
0.357,25
0.359,23
0.361,23
0.363,26
0.365,20
0.367,25
0.369,20
0.371,23
0.373,21
0.375,28
0.377,26
0.379,25
0.381,20
0.383,25
0.385,22
0.387,24
0.389,21
0.391,24
0.393,21
0.395,31
0.397,23
0.399,19
0.401,28
0.403,18
0.405,18
0.40700000000000003,19
0.40900000000000003,23
0.41100000000000003,13
0.41300000000000003,21
0.41500000000000004,20
0.41700000000000004,15
0.419,20
0.421,22
0.423,18
0.425,21
0.427,23
0.429,11
0.431,23
0.433,17
0.435,24
0.437,17
0.439,21
0.441,17
0.443,20
0.445,17
0.447,20
0.449,18
0.451,16
0.453,16
0.455,18
0.457,26
0.459,23
0.461,27
0.463,16
0.465,18
0.467,16
0.46900000000000003,21
0.47100000000000003,11
0.47300000000000003,17
0.47500000000000003,19
0.47700000000000004,9
0.479,14
0.481,12
0.483,23
0.485,8
0.487,10
0.489,21
0.491,12
0.493,14
0.495,22
0.497,19
0.499,15
0.501,12
0.503,17
0.505,16
0.507,12
0.509,15
0.511,19
0.513,12
0.515,13
0.517,11
0.519,16
0.521,15
0.523,14
0.525,15
0.527,15
0.529,14
0.531,14
0.533,11
0.535,14
0.537,9
0.539,14
0.541,8
0.543,19
0.545,19
0.547,19
0.549,15
0.551,11
0.553,12
0.555,16
0.557,6
0.559,15
0.561,13
0.5630000000000001,12
0.5650000000000001,10
0.5670000000000001,15
0.5690000000000001,11
0.5710000000000001,15
0.5730000000000001,16
0.5750000000000001,15
0.577,12
0.579,16
0.581,10
0.583,11
0.585,14
0.587,13
0.589,15
0.591,17
0.593,7
0.595,12
0.597,13
0.599,10
0.601,11
0.603,13
0.605,15
0.607,6
0.609,10
0.611,13
0.613,12
0.615,7
0.617,10
0.619,12
0.621,9
0.623,6
0.625,6
0.627,9
0.629,20
0.631,15
0.633,11
0.635,8
0.637,15
0.639,10
0.641,14
0.643,10
0.645,10
0.647,9
0.649,13
0.651,7
0.653,5
0.655,9
0.657,12
0.659,15
0.661,13
0.663,9
0.665,12
0.667,13
0.669,13
0.671,15
0.673,11
0.675,9
0.677,10
0.679,10
0.681,5
0.683,10
0.685,3
0.687,11
0.6890000000000001,7
0.6910000000000001,8
0.6930000000000001,9
0.6950000000000001,7
0.6970000000000001,7
0.6990000000000001,10
0.7010000000000001,12
0.7030000000000001,11
0.705,7
0.707,11
0.709,9
0.711,9
0.713,8
0.715,10
0.717,10
0.719,15
0.721,11
0.723,18
0.725,6
0.727,9
0.729,7
0.731,10
0.733,6
0.735,6
0.737,5
0.739,4
0.741,2
0.743,9
0.745,8
0.747,10
0.749,10
0.751,6
0.753,8
0.755,5
0.757,12
0.759,8
0.761,7
0.763,8
0.765,10
0.767,4
0.769,6
0.771,4
0.773,10
0.775,8
0.777,13
0.779,10
0.781,7
0.783,6
0.785,6
0.787,8
0.789,6
0.791,4
0.793,16
0.795,8
0.797,10
0.799,2
0.801,8
0.803,9
0.805,6
0.807,7
