Energy_MeV,W_0.1mm,W_0.25mm,W_0.5mm,W_1.0mm
0.001,0,0,12,4
0.003,0,0,36,8
0.005,0,0,52,25
0.007,3,0,110,55
0.009000000000000001,50,44,342,231
0.011,15,16,108,48
0.013000000000000001,12,11,74,46
0.015,10,12,85,48
0.017,15,12,112,55
0.019000000000000003,16,26,133,67
0.020999999999999998,31,21,163,73
0.023,37,21,198,90
0.025,27,33,235,122
0.027000000000000003,42,32,243,121
0.028999999999999998,49,46,273,145
0.031,52,45,339,163
0.033,69,52,389,176
0.035,71,51,458,190
0.037000000000000005,58,61,467,217
0.039,58,77,502,226
0.041,66,86,545,264
0.043,84,81,663,305
0.045,78,101,679,344
0.047,90,103,744,347
0.049,77,106,805,444
0.051000000000000004,80,108,899,491
0.053000000000000005,84,142,1023,543
0.055,78,115,1112,560
0.057,66,129,1276,692
0.059,321,955,12715,10566
0.061,71,130,1259,741
0.063,81,124,1297,795
0.065,67,114,1384,821
0.067,127,303,4645,4044
0.069,69,168,2122,1623
0.07100000000000001,33,42,275,119
0.07300000000000001,34,51,286,131
0.075,38,32,333,148
0.077,43,48,331,164
0.079,50,37,356,166
0.081,43,53,342,163
0.083,36,51,360,190
0.085,30,42,394,186
0.087,41,52,428,209
0.089,39,44,458,237
0.091,34,59,423,211
0.093,23,47,476,231
0.095,27,53,524,255
0.097,37,61,464,268
0.099,35,59,526,297
0.101,31,64,499,274
0.10300000000000001,28,57,562,316
0.10500000000000001,26,62,604,312
0.107,38,66,572,328
0.109,28,66,633,386
0.111,33,55,586,359
0.113,32,73,608,390
0.115,40,69,670,409
0.117,42,71,651,432
0.119,26,53,665,418
0.121,37,54,645,457
0.123,35,73,704,441
0.125,33,47,668,489
0.127,36,64,703,488
0.129,26,60,735,513
0.131,27,56,694,557
0.133,26,45,727,526
0.135,26,63,796,584
0.137,22,58,722,572
0.139,28,61,740,568
0.14100000000000001,35,52,822,590
0.14300000000000002,34,54,743,606
0.14500000000000002,35,58,790,628
0.147,31,58,744,654
0.149,21,60,793,593
0.151,20,66,800,640
0.153,27,45,828,648
0.155,24,38,753,694
0.157,18,48,785,686
0.159,28,47,781,723
0.161,19,56,856,725
0.163,23,56,800,726
0.165,33,51,806,759
0.167,28,53,744,707
0.169,29,65,776,747
0.171,32,54,832,767
0.17300000000000001,25,51,782,773
0.175,24,45,789,795
0.177,19,43,800,761
0.179,25,56,770,802
0.181,23,45,773,817
0.183,22,47,780,834
0.185,17,46,770,819
0.187,14,50,739,834
0.189,17,48,809,797
0.191,23,42,776,865
0.193,21,58,726,848
0.195,14,41,771,846
0.197,34,42,726,869
0.199,21,54,758,825
0.201,15,47,704,794
0.203,20,41,740,871
0.20500000000000002,20,51,712,824
0.20700000000000002,14,46,758,834
0.20900000000000002,15,35,769,847
0.211,16,52,737,825
0.213,16,48,751,862
0.215,18,37,720,859
0.217,17,43,716,828
0.219,12,50,734,819
0.221,28,48,713,832
0.223,16,31,737,892
0.225,25,40,695,849
0.227,12,46,706,831
0.229,16,40,698,864
0.231,19,47,657,885
0.233,18,41,658,852
0.23500000000000001,15,43,673,844
0.23700000000000002,18,49,665,843
0.239,14,38,725,840
0.241,11,44,625,793
0.243,15,34,660,785
0.245,16,39,640,833
0.247,18,40,623,798
0.249,10,45,669,842
0.251,20,38,575,776
0.253,20,40,671,800
0.255,11,33,602,772
0.257,10,40,610,838
0.259,18,38,619,838
0.261,17,34,686,876
0.263,9,32,637,765
0.265,22,34,639,816
0.267,11,38,582,749
0.269,14,47,644,806
0.271,10,32,666,778
0.273,21,45,576,784
0.275,10,36,583,775
0.277,17,27,625,758
0.279,14,24,599,783
0.281,20,43,575,759
0.28300000000000003,12,36,584,803
0.28500000000000003,5,40,562,790
0.28700000000000003,9,37,563,792
0.28900000000000003,13,35,562,728
0.291,10,34,532,753
0.293,16,25,577,788
0.295,6,33,546,728
0.297,16,42,584,760
0.299,13,26,581,686
0.301,13,25,560,783
0.303,11,30,523,747
0.305,17,37,525,743
0.307,11,27,559,710
0.309,6,27,512,668
0.311,12,34,497,691
0.313,11,18,507,694
0.315,11,33,477,685
0.317,12,31,480,698
0.319,11,29,475,696
0.321,6,26,496,692
0.323,15,30,521,687
0.325,11,24,500,702
0.327,9,23,476,716
0.329,14,30,484,644
0.331,13,20,506,651
0.333,9,20,473,676
0.335,15,23,468,677
0.337,6,34,481,643
0.339,7,29,485,682
0.341,11,27,493,715
0.343,8,28,486,662
0.34500000000000003,13,27,496,603
0.34700000000000003,17,29,431,636
0.34900000000000003,13,36,493,652
0.351,12,25,467,632
0.353,5,28,452,690
0.355,9,20,431,642
0.357,8,25,467,620
0.359,13,23,457,664
0.361,10,23,406,578
0.363,8,26,417,648
0.365,13,20,462,607
0.367,10,25,457,622
0.369,11,20,446,619
