EventID,TrackID,ParentID,Particle,KineticEnergy,Volume,DetectorID
12,6,1,gamma,0.281489,Detector,1
12,9,5,gamma,0.058116,Detector,1
19,2,1,gamma,0.0243653,Detector,1
21,11,2,gamma,0.058116,Detector,1
42,4,2,gamma,0.059483,Detector,1
69,2,1,gamma,0.0658005,Detector,1
79,2,1,gamma,0.0436199,Detector,1
83,2,1,gamma,0.040371,Detector,1
95,2,1,gamma,0.212694,Detector,1
106,2,1,gamma,0.0973974,Detector,1
114,2,1,gamma,0.923536,Detector,1
117,2,1,gamma,0.0764905,Detector,1
119,2,1,gamma,0.0518193,Detector,1
133,2,1,gamma,2.89224,Detector,1
150,2,1,gamma,0.0947071,Detector,1
236,4,2,gamma,0.0671212,Detector,1
241,2,1,gamma,0.733431,Detector,1
246,2,1,gamma,0.196936,Detector,1
265,2,1,gamma,0.322029,Detector,1
277,2,1,gamma,0.0956567,Detector,1
279,4,2,gamma,0.0674178,Detector,1
283,2,1,gamma,1.05521,Detector,1
287,2,1,gamma,0.0615867,Detector,1
357,2,1,gamma,0.128162,Detector,1
360,2,1,gamma,0.0502087,Detector,1
377,3,1,gamma,0.311272,Detector,1
391,2,1,gamma,0.232356,Detector,1
393,3,1,gamma,0.0696121,Detector,1
393,2,1,gamma,0.0481991,Detector,1
406,2,1,gamma,0.0854928,Detector,1
411,2,1,gamma,0.18193,Detector,1
429,2,1,gamma,0.572843,Detector,1
442,2,1,gamma,0.0614815,Detector,1
450,2,1,gamma,0.0363698,Detector,1
453,2,1,gamma,0.0555963,Detector,1
469,2,1,gamma,0.0796643,Detector,1
510,2,1,gamma,0.0546547,Detector,1
552,2,1,gamma,0.0976162,Detector,1
558,3,1,gamma,3.83689,Detector,1
558,2,1,gamma,0.0405899,Detector,1
569,2,1,gamma,0.0362245,Detector,1
590,3,1,gamma,0.16894,Detector,1
590,2,1,gamma,2.96215,Detector,1
595,2,1,gamma,0.510571,Detector,1
598,2,1,gamma,0.0627735,Detector,1
626,9,3,gamma,0.0422094,Detector,1
642,2,1,gamma,0.071247,Detector,1
644,2,1,gamma,0.0596179,Detector,1
659,2,1,gamma,0.215307,Detector,1
691,4,2,gamma,0.058116,Detector,1
754,2,1,gamma,0.171659,Detector,1
784,2,1,gamma,0.242774,Detector,1
821,2,1,gamma,0.140696,Detector,1
834,2,1,gamma,0.729717,Detector,1
847,4,1,gamma,0.389342,Detector,1
868,2,1,gamma,0.236951,Detector,1
905,2,1,gamma,0.263296,Detector,1
911,2,1,gamma,0.049177,Detector,1
930,2,1,gamma,0.0823464,Detector,1
945,3,1,gamma,0.0798877,Detector,1
946,2,1,gamma,0.0546697,Detector,1
